original_path,archive_path,bytes,sha256
CHANGELOG.md,history/p03_merge_preimages_R1/CHANGELOG.md,2509,3a85ed227cdb107ff1f3253801e9e89ae8867c4ea7705a60989f26e34893c5eb
CURRENT_CUMULATIVE_REPOSITORY_MANIFEST.json,history/p03_merge_preimages_R1/CURRENT_CUMULATIVE_REPOSITORY_MANIFEST.json,10071121,ae0a0b50560088e6603f8d92835560879c636c50364d6530d6f6f1a319157dfd
CURRENT_PROJECT_STATUS.json,history/p03_merge_preimages_R1/CURRENT_PROJECT_STATUS.json,3876,7c4b8cee11f356cd0a39ead803feff941dd23660ac2b3c329f3d224d1a48b2a6
README.md,history/p03_merge_preimages_R1/README.md,5910,639aeeaf959a5657c8a0d49f70ad9d4eab8e47a1b4f826a8826681f56c97152e
REPOSITORY_CHECKSUMS.sha256,history/p03_merge_preimages_R1/REPOSITORY_CHECKSUMS.sha256,7712895,fe564832aa02b1f20aff99dd9b72ea8994ffe4acb551dca6b57f95caaf09b31d
ROADMAP.md,history/p03_merge_preimages_R1/ROADMAP.md,882,11a2574681cd67f86a0e965b58c55ca3a51a59e56a394dccb9e85044586d85a9
configs/phases/p03.yaml,history/p03_merge_preimages_R1/configs/phases/p03.yaml,1407,d053f64a4f86c2a148cdd452c899e37d83aadb93765bdbf7be7c0711f0efeb7e
current_artifact_index.csv,history/p03_merge_preimages_R1/current_artifact_index.csv,9593878,99f28124beb171bf390d592128dd87d79a6ad845416617ca3cc7841bb159dfb7
current_document_index.md,history/p03_merge_preimages_R1/current_document_index.md,2206,354755a9d7779197314f12ebb143595ae28194a60b0258e3db08bc8d5075adf7
external_artifact_pointer_manifest.json,history/p03_merge_preimages_R1/external_artifact_pointer_manifest.json,16675632,a9b7576008c9ad339f249a771600b0d0a77920fcecc5e2255f4fbacdba23255a
external_artifact_pointer_manifest.yaml,history/p03_merge_preimages_R1/external_artifact_pointer_manifest.yaml,14026707,f1b5b04b15c36752a035b19511d062ac6982fe13f855df55debf8e53727312b9
phase_handoff.yaml,history/p03_merge_preimages_R1/phase_handoff.yaml,2077,a47c405a6f58fb51b9d1a0c0c231187440cab46700bbe82f7bd0c685564c1849
project_state_checksums.sha256,history/p03_merge_preimages_R1/project_state_checksums.sha256,1533,99fc222cad37a14c5cb69bbdb33a25aea9ec729d7b0b3ccac98aa858e8200220
project_state_manifest.yaml,history/p03_merge_preimages_R1/project_state_manifest.yaml,1589,410c8d4d8f581b146fb6a5d8e71dadd13e7bdead1b18089634d0f74777584902
pyproject.toml,history/p03_merge_preimages_R1/pyproject.toml,1518,0b218aad055b9d7824eac88308c24aefd1fae281eb2e5e5b4edf635edc3dd218
scripts/verify_cumulative_release.py,history/p03_merge_preimages_R1/scripts/verify_cumulative_release.py,6400,6c7d2517490457e6a67cf03eac678514f3eb79af1575594aa8686d28a9e3d968
src/iharq/layer3_calibration_uncertainty/__init__.py,history/p03_merge_preimages_R1/src/iharq/layer3_calibration_uncertainty/__init__.py,100,7492f49162aa12db2b9bcd8556a9fcbff7ce5cd7682a4628d71ee334015ed5bc
tests/test_p02_to_p03_handoff.py,history/p03_merge_preimages_R1/tests/test_p02_to_p03_handoff.py,2246,cd217d44df9c7b1f8178292306b5fc20cccfbff4ab21022f9af6de4e876e04ef
