ablation_id,required_keys,keys_complete,status
A0,dataset_id|split_id|preprocessing_id|label_map_id|window_id|config_hash|seed,True,FOUNDATION_READY
A1,dataset_id|split_id|preprocessing_id|label_map_id|window_id|config_hash|seed,True,FOUNDATION_READY
A2,dataset_id|split_id|preprocessing_id|label_map_id|window_id|config_hash|seed,True,FOUNDATION_READY
A3,dataset_id|split_id|preprocessing_id|label_map_id|window_id|config_hash|seed,True,FOUNDATION_READY
A4,dataset_id|split_id|preprocessing_id|label_map_id|window_id|config_hash|seed|a4_group_id|evidence_condition_id,True,FOUNDATION_READY
A5,dataset_id|split_id|preprocessing_id|label_map_id|window_id|config_hash|seed,True,FOUNDATION_READY
A6,dataset_id|split_id|preprocessing_id|label_map_id|window_id|config_hash|seed,True,FOUNDATION_READY
A7,dataset_id|split_id|preprocessing_id|label_map_id|window_id|config_hash|seed,True,FOUNDATION_READY
A8,dataset_id|split_id|preprocessing_id|label_map_id|window_id|config_hash|seed,True,FOUNDATION_READY
A9,dataset_id|split_id|preprocessing_id|label_map_id|window_id|config_hash|seed,True,FOUNDATION_READY
A10,dataset_id|split_id|preprocessing_id|label_map_id|window_id|config_hash|seed,True,FOUNDATION_READY
A11,dataset_id|split_id|preprocessing_id|label_map_id|window_id|config_hash|seed,True,FOUNDATION_READY
A12,dataset_id|split_id|preprocessing_id|label_map_id|window_id|config_hash|seed,True,FOUNDATION_READY
A13,dataset_id|split_id|preprocessing_id|label_map_id|window_id|config_hash|seed,True,FOUNDATION_READY
