planned_run_cell_id,ablation_id,condition_id,dataset_id,budget_id,role_id,branch_slot,resolved_branch_rule,model_repeat_index,aux_repeat_index,seed_id,seed_purpose,comparison_reference,notebook_stage,gate,terminal_required,analysis_outputs_required
P02-A0-PhysioNetMI-SAN-MAJ-FULL_TRAIN-MR00,A0,A0-RAW-ACCEPT-ALL,PhysioNetMI,FULL_TRAIN,SANITY,SAN-MAJ,FIXED_BRANCH,0,0,98596441,MODEL_INIT,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-BNCI2014_001-SAN-MAJ-FULL_TRAIN-MR00,A0,A0-RAW-ACCEPT-ALL,BNCI2014_001,FULL_TRAIN,SANITY,SAN-MAJ,FIXED_BRANCH,0,0,1046014875,MODEL_INIT,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-Lee2019_MI-SAN-MAJ-FULL_TRAIN-MR00,A0,A0-RAW-ACCEPT-ALL,Lee2019_MI,FULL_TRAIN,SANITY,SAN-MAJ,FIXED_BRANCH,0,0,1379476733,MODEL_INIT,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR00,A0,A0-RAW-ACCEPT-ALL,PhysioNetMI,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,0,0,1158555046,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR01,A0,A0-RAW-ACCEPT-ALL,PhysioNetMI,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,1,0,313258286,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR02,A0,A0-RAW-ACCEPT-ALL,PhysioNetMI,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,2,0,1106476383,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR03,A0,A0-RAW-ACCEPT-ALL,PhysioNetMI,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,3,0,1760337274,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR04,A0,A0-RAW-ACCEPT-ALL,PhysioNetMI,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,4,0,1866966322,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR05,A0,A0-RAW-ACCEPT-ALL,PhysioNetMI,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,5,0,1562923638,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR06,A0,A0-RAW-ACCEPT-ALL,PhysioNetMI,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,6,0,1457111742,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR07,A0,A0-RAW-ACCEPT-ALL,PhysioNetMI,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,7,0,1622969309,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
