comparison_id,dataset_id,condition_id,subject_id,matched_events,ensemble_BACC,constituent_BACC,paired_difference_BACC
P02-A4-PhysioNetMI-ENSEMBLE-A4-C4-MODEL-HARD-VOTE-FULL_TRAIN-ER00:VS_STRONGEST,PhysioNetMI,A4-C4-MODEL-HARD-VOTE,107,45,0.5982142857142857,0.6041666666666666,-0.005952380952380931
P02-A4-PhysioNetMI-ENSEMBLE-A4-C4-MODEL-HARD-VOTE-FULL_TRAIN-ER00:VS_STRONGEST,PhysioNetMI,A4-C4-MODEL-HARD-VOTE,27,45,0.6235177865612648,0.5810276679841897,0.042490118577075076
P02-A4-PhysioNetMI-ENSEMBLE-A4-C4-MODEL-HARD-VOTE-FULL_TRAIN-ER00:VS_STRONGEST,PhysioNetMI,A4-C4-MODEL-HARD-VOTE,39,45,0.5335968379446641,0.6047430830039526,-0.07114624505928857
P02-A4-PhysioNetMI-ENSEMBLE-A4-C4-MODEL-HARD-VOTE-FULL_TRAIN-ER00:VS_STRONGEST,PhysioNetMI,A4-C4-MODEL-HARD-VOTE,40,45,0.5029761904761905,0.49404761904761907,0.008928571428571397
P02-A4-PhysioNetMI-ENSEMBLE-A4-C4-MODEL-HARD-VOTE-FULL_TRAIN-ER00:VS_STRONGEST,PhysioNetMI,A4-C4-MODEL-HARD-VOTE,47,45,0.5148809523809523,0.5297619047619048,-0.014880952380952439
P02-A4-PhysioNetMI-ENSEMBLE-A4-C4-MODEL-HARD-VOTE-FULL_TRAIN-ER00:VS_STRONGEST,PhysioNetMI,A4-C4-MODEL-HARD-VOTE,48,45,0.6739130434782609,0.8260869565217391,-0.15217391304347827
P02-A4-PhysioNetMI-ENSEMBLE-A4-C4-MODEL-HARD-VOTE-FULL_TRAIN-ER00:VS_STRONGEST,PhysioNetMI,A4-C4-MODEL-HARD-VOTE,57,45,0.5714285714285714,0.5982142857142857,-0.0267857142857143
P02-A4-PhysioNetMI-ENSEMBLE-A4-C4-MODEL-HARD-VOTE-FULL_TRAIN-ER00:VS_STRONGEST,PhysioNetMI,A4-C4-MODEL-HARD-VOTE,6,45,0.5178571428571428,0.5625,-0.044642857142857206
P02-A4-PhysioNetMI-ENSEMBLE-A4-C4-MODEL-HARD-VOTE-FULL_TRAIN-ER00:VS_STRONGEST,PhysioNetMI,A4-C4-MODEL-HARD-VOTE,71,45,0.6739130434782609,0.8695652173913043,-0.19565217391304346
P02-A4-PhysioNetMI-ENSEMBLE-A4-C4-MODEL-HARD-VOTE-FULL_TRAIN-ER00:VS_STRONGEST,PhysioNetMI,A4-C4-MODEL-HARD-VOTE,93,45,0.8873517786561265,0.8873517786561265,0.0
P02-A4-PhysioNetMI-ENSEMBLE-A4-C4-MODEL-HARD-VOTE-FULL_TRAIN-ER00:VS_STRONGEST,PhysioNetMI,A4-C4-MODEL-HARD-VOTE,98,45,0.44367588932806323,0.5088932806324111,-0.0652173913043479
P02-A4-PhysioNetMI-ENSEMBLE-A4-C5-MODEL-PROB-AVG-FULL_TRAIN-ER00:VS_STRONGEST,PhysioNetMI,A4-C5-MODEL-PROB-AVG,107,45,0.5386904761904762,0.6041666666666666,-0.06547619047619047
P02-A4-PhysioNetMI-ENSEMBLE-A4-C5-MODEL-PROB-AVG-FULL_TRAIN-ER00:VS_STRONGEST,PhysioNetMI,A4-C5-MODEL-PROB-AVG,27,45,0.558300395256917,0.5810276679841897,-0.022727272727272707
P02-A4-PhysioNetMI-ENSEMBLE-A4-C5-MODEL-PROB-AVG-FULL_TRAIN-ER00:VS_STRONGEST,PhysioNetMI,A4-C5-MODEL-PROB-AVG,39,45,0.5602766798418972,0.6047430830039526,-0.04446640316205541
P02-A4-PhysioNetMI-ENSEMBLE-A4-C5-MODEL-PROB-AVG-FULL_TRAIN-ER00:VS_STRONGEST,PhysioNetMI,A4-C5-MODEL-PROB-AVG,40,45,0.5327380952380952,0.49404761904761907,0.038690476190476164
P02-A4-PhysioNetMI-ENSEMBLE-A4-C5-MODEL-PROB-AVG-FULL_TRAIN-ER00:VS_STRONGEST,PhysioNetMI,A4-C5-MODEL-PROB-AVG,47,45,0.5744047619047619,0.5297619047619048,0.044642857142857095
P02-A4-PhysioNetMI-ENSEMBLE-A4-C5-MODEL-PROB-AVG-FULL_TRAIN-ER00:VS_STRONGEST,PhysioNetMI,A4-C5-MODEL-PROB-AVG,48,45,0.7381422924901186,0.8260869565217391,-0.08794466403162049
P02-A4-PhysioNetMI-ENSEMBLE-A4-C5-MODEL-PROB-AVG-FULL_TRAIN-ER00:VS_STRONGEST,PhysioNetMI,A4-C5-MODEL-PROB-AVG,57,45,0.6190476190476191,0.5982142857142857,0.02083333333333337
