source,dataset_id,budget_id,budget_short,model_repeat_index,role_id,condition_id,condition_short,resolved_branch,a4_run_cell_id,c0_run_cell_id,BACC_C0,BACC_A4,delta_BACC,F1_C0,F1_A4,delta_F1
CANONICAL_STAGE18_MR00,PhysioNetMI,FULL_TRAIN,FULL,0,NEURAL,A4-C1-LONG-3P5S,C1,DNN-EEGNET,P02-A4-PhysioNetMI-NEURAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR00,P02-A4-PhysioNetMI-NEURAL-A4-C0-CORE-FULL_TRAIN-MR00,0.6442687747035574,0.6796622349982033,0.0353934602946459,0.6418811934399662,0.6785989929802638,0.0367177995402976
CANONICAL_STAGE18_MR00,PhysioNetMI,FULL_TRAIN,FULL,0,NEURAL,A4-C2-MULTI-HARD-VOTE,C2,DNN-EEGNET,P02-A4-PhysioNetMI-NEURAL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00,P02-A4-PhysioNetMI-NEURAL-A4-C0-CORE-FULL_TRAIN-MR00,0.6442687747035574,0.6632231404958677,0.0189543657923103,0.6418811934399662,0.662551744529864,0.0206705510898977
CANONICAL_STAGE18_MR00,PhysioNetMI,FULL_TRAIN,FULL,0,NEURAL,A4-C3-MULTI-PROB-AVG,C3,DNN-EEGNET,P02-A4-PhysioNetMI-NEURAL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00,P02-A4-PhysioNetMI-NEURAL-A4-C0-CORE-FULL_TRAIN-MR00,0.6442687747035574,0.6720265900107798,0.0277578153072224,0.6418811934399662,0.6720191741378182,0.030137980697852
CANONICAL_STAGE18_MR00,PhysioNetMI,FULL_TRAIN,FULL,0,SSL,A4-C2-MULTI-HARD-VOTE,C2,SSL-CBRAMOD,P02-A4-PhysioNetMI-SSL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00,P02-A4-PhysioNetMI-SSL-A4-C0-CORE-FULL_TRAIN-MR00,0.5502155946819978,0.5735716852317643,0.0233560905497665,0.5493110135755843,0.5735633357150147,0.0242523221394304
CANONICAL_STAGE18_MR00,PhysioNetMI,FULL_TRAIN,FULL,0,SSL,A4-C3-MULTI-PROB-AVG,C3,SSL-CBRAMOD,P02-A4-PhysioNetMI-SSL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00,P02-A4-PhysioNetMI-SSL-A4-C0-CORE-FULL_TRAIN-MR00,0.5502155946819978,0.556593604024434,0.0063780093424362,0.5493110135755843,0.5561556004110695,0.0068445868354851
CANONICAL_STAGE18_MR00,PhysioNetMI,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,0,NEURAL,A4-C1-LONG-3P5S,C1,DNN-EEGNET,P02-A4-PhysioNetMI-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00,P02-A4-PhysioNetMI-NEURAL-A4-C0-CORE-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00,0.4792490118577075,0.4946101329500539,0.0153611210923463,0.4466849315068493,0.3562248846752061,-0.0904600468316432
CANONICAL_STAGE18_MR00,PhysioNetMI,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,0,NEURAL,A4-C2-MULTI-HARD-VOTE,C2,DNN-EEGNET,P02-A4-PhysioNetMI-NEURAL-A4-C2-MULTI-HARD-VOTE-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00,P02-A4-PhysioNetMI-NEURAL-A4-C0-CORE-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00,0.4792490118577075,0.5005389867049946,0.0212899748472871,0.4466849315068493,0.4178133575981685,-0.0288715739086807
CANONICAL_STAGE18_MR00,PhysioNetMI,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,0,NEURAL,A4-C3-MULTI-PROB-AVG,C3,DNN-EEGNET,P02-A4-PhysioNetMI-NEURAL-A4-C3-MULTI-PROB-AVG-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00,P02-A4-PhysioNetMI-NEURAL-A4-C0-CORE-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00,0.4792490118577075,0.4942508084800575,0.0150017966223499,0.4466849315068493,0.40490851513019,-0.0417764163766593
CANONICAL_STAGE18_MR00,PhysioNetMI,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,0,SSL,A4-C2-MULTI-HARD-VOTE,C2,SSL-CBRAMOD,P02-A4-PhysioNetMI-SSL-A4-C2-MULTI-HARD-VOTE-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00,P02-A4-PhysioNetMI-SSL-A4-C0-CORE-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00,0.4956881063600431,0.4820337765001796,-0.0136543298598634,0.3912783781477596,0.3879773913726106,-0.003300986775149
CANONICAL_STAGE18_MR00,PhysioNetMI,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,0,SSL,A4-C3-MULTI-PROB-AVG,C3,SSL-CBRAMOD,P02-A4-PhysioNetMI-SSL-A4-C3-MULTI-PROB-AVG-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00,P02-A4-PhysioNetMI-SSL-A4-C0-CORE-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00,0.4956881063600431,0.49200503054258,-0.0036830758174631,0.3912783781477596,0.396487469704673,0.0052090915569134
