run_cell_id,dataset,repeat,seed,terminal_status,BACC,F1_MACRO,ACC,ROC_AUC,comparison_reference,selected_probability,class_weight_policy,best_epoch,recipe_sha256,effective_patience,effective_min_epochs_before_early_stop,effective_training_policy_label
P02-TRAIN-AUG-SR-BNCI2014_001-DNN-EEGNET-FULL_TRAIN-MR00,BNCI2014_001,0,1365878896,SUCCESS,0.5694444444444444,0.5673580151192091,0.5694444444444444,0.5855034722222222,P02-A0-BNCI2014_001-DNN-EEGNET-FULL_TRAIN-MR00,0.75,UNIFORM_NO_WEIGHT,157,18cbe259c05bfcea6b26934118216d5a60ff14d659906e6e8e2f590ffc502866,120,1,TRUE_P120_FLOOR1_R7
P02-TRAIN-AUG-SR-BNCI2014_001-DNN-EEGNET-FULL_TRAIN-MR01,BNCI2014_001,1,1315210004,SUCCESS,0.5625,0.5611455108359134,0.5625,0.6069155092592593,P02-A0-BNCI2014_001-DNN-EEGNET-FULL_TRAIN-MR01,0.75,UNIFORM_NO_WEIGHT,139,18cbe259c05bfcea6b26934118216d5a60ff14d659906e6e8e2f590ffc502866,120,1,TRUE_P120_FLOOR1_R7
P02-TRAIN-AUG-SR-BNCI2014_001-DNN-EEGNET-FULL_TRAIN-MR02,BNCI2014_001,2,379840035,SUCCESS,0.5520833333333334,0.5213296398891967,0.5520833333333334,0.5650559413580247,P02-A0-BNCI2014_001-DNN-EEGNET-FULL_TRAIN-MR02,0.75,UNIFORM_NO_WEIGHT,100,18cbe259c05bfcea6b26934118216d5a60ff14d659906e6e8e2f590ffc502866,120,1,TRUE_P120_FLOOR1_R7
P02-TRAIN-AUG-SR-BNCI2014_001-DNN-EEGNET-FULL_TRAIN-MR03,BNCI2014_001,3,1670228635,SUCCESS,0.6111111111111112,0.6110923559199422,0.6111111111111112,0.6518132716049383,P02-A0-BNCI2014_001-DNN-EEGNET-FULL_TRAIN-MR03,0.75,UNIFORM_NO_WEIGHT,482,18cbe259c05bfcea6b26934118216d5a60ff14d659906e6e8e2f590ffc502866,120,1,TRUE_P120_FLOOR1_R7
P02-TRAIN-AUG-SR-BNCI2014_001-DNN-EEGNET-FULL_TRAIN-MR04,BNCI2014_001,4,1787249684,SUCCESS,0.5625,0.5440060316662478,0.5625,0.6255787037037037,P02-A0-BNCI2014_001-DNN-EEGNET-FULL_TRAIN-MR04,0.75,UNIFORM_NO_WEIGHT,171,18cbe259c05bfcea6b26934118216d5a60ff14d659906e6e8e2f590ffc502866,120,1,TRUE_P120_FLOOR1_R7
P02-TRAIN-AUG-SR-Lee2019_MI-DNN-EEGNET-FULL_TRAIN-MR00,Lee2019_MI,0,355095607,SUCCESS,0.7533333333333334,0.7533305925621396,0.7533333333333333,0.8098111111111111,P02-A0-Lee2019_MI-DNN-EEGNET-FULL_TRAIN-MR00,0.25,UNIFORM_NO_WEIGHT,39,18cbe259c05bfcea6b26934118216d5a60ff14d659906e6e8e2f590ffc502866,120,1,TRUE_P120_FLOOR1_R7
P02-TRAIN-AUG-SR-Lee2019_MI-DNN-EEGNET-FULL_TRAIN-MR01,Lee2019_MI,1,1980134632,SUCCESS,0.7666666666666666,0.7666018338427341,0.7666666666666667,0.8368666666666666,P02-A0-Lee2019_MI-DNN-EEGNET-FULL_TRAIN-MR01,0.25,UNIFORM_NO_WEIGHT,191,18cbe259c05bfcea6b26934118216d5a60ff14d659906e6e8e2f590ffc502866,120,1,TRUE_P120_FLOOR1_R7
P02-TRAIN-AUG-SR-Lee2019_MI-DNN-EEGNET-FULL_TRAIN-MR02,Lee2019_MI,2,520730916,SUCCESS,0.7383333333333333,0.7378782608695652,0.7383333333333333,0.8154222222222223,P02-A0-Lee2019_MI-DNN-EEGNET-FULL_TRAIN-MR02,0.25,UNIFORM_NO_WEIGHT,116,18cbe259c05bfcea6b26934118216d5a60ff14d659906e6e8e2f590ffc502866,120,1,TRUE_P120_FLOOR1_R7
P02-TRAIN-AUG-SR-Lee2019_MI-DNN-EEGNET-FULL_TRAIN-MR03,Lee2019_MI,3,874578305,SUCCESS,0.7533333333333333,0.7503121098626717,0.7533333333333333,0.8538777777777778,P02-A0-Lee2019_MI-DNN-EEGNET-FULL_TRAIN-MR03,0.25,UNIFORM_NO_WEIGHT,233,18cbe259c05bfcea6b26934118216d5a60ff14d659906e6e8e2f590ffc502866,120,1,TRUE_P120_FLOOR1_R7
P02-TRAIN-AUG-SR-Lee2019_MI-DNN-EEGNET-FULL_TRAIN-MR04,Lee2019_MI,4,2063085012,SUCCESS,0.74,0.739814979541007,0.74,0.7925444444444445,P02-A0-Lee2019_MI-DNN-EEGNET-FULL_TRAIN-MR04,0.25,UNIFORM_NO_WEIGHT,154,18cbe259c05bfcea6b26934118216d5a60ff14d659906e6e8e2f590ffc502866,120,1,TRUE_P120_FLOOR1_R7
