run_cell_id,dataset,repeat,terminal_status,comparison_reference,selected_probability
P02-TRAIN-AUG-SR-BNCI2014_001-DNN-EEGNET-FULL_TRAIN-MR00,BNCI2014_001,0,SUCCESS,P02-A0-BNCI2014_001-DNN-EEGNET-FULL_TRAIN-MR00,0.75
P02-TRAIN-AUG-SR-BNCI2014_001-DNN-EEGNET-FULL_TRAIN-MR01,BNCI2014_001,1,SUCCESS,P02-A0-BNCI2014_001-DNN-EEGNET-FULL_TRAIN-MR01,0.75
P02-TRAIN-AUG-SR-BNCI2014_001-DNN-EEGNET-FULL_TRAIN-MR02,BNCI2014_001,2,SUCCESS,P02-A0-BNCI2014_001-DNN-EEGNET-FULL_TRAIN-MR02,0.75
P02-TRAIN-AUG-SR-BNCI2014_001-DNN-EEGNET-FULL_TRAIN-MR03,BNCI2014_001,3,SUCCESS,P02-A0-BNCI2014_001-DNN-EEGNET-FULL_TRAIN-MR03,0.75
P02-TRAIN-AUG-SR-BNCI2014_001-DNN-EEGNET-FULL_TRAIN-MR04,BNCI2014_001,4,SUCCESS,P02-A0-BNCI2014_001-DNN-EEGNET-FULL_TRAIN-MR04,0.75
P02-TRAIN-AUG-SR-Lee2019_MI-DNN-EEGNET-FULL_TRAIN-MR00,Lee2019_MI,0,SUCCESS,P02-A0-Lee2019_MI-DNN-EEGNET-FULL_TRAIN-MR00,0.25
P02-TRAIN-AUG-SR-Lee2019_MI-DNN-EEGNET-FULL_TRAIN-MR01,Lee2019_MI,1,SUCCESS,P02-A0-Lee2019_MI-DNN-EEGNET-FULL_TRAIN-MR01,0.25
P02-TRAIN-AUG-SR-Lee2019_MI-DNN-EEGNET-FULL_TRAIN-MR02,Lee2019_MI,2,SUCCESS,P02-A0-Lee2019_MI-DNN-EEGNET-FULL_TRAIN-MR02,0.25
P02-TRAIN-AUG-SR-Lee2019_MI-DNN-EEGNET-FULL_TRAIN-MR03,Lee2019_MI,3,SUCCESS,P02-A0-Lee2019_MI-DNN-EEGNET-FULL_TRAIN-MR03,0.25
P02-TRAIN-AUG-SR-Lee2019_MI-DNN-EEGNET-FULL_TRAIN-MR04,Lee2019_MI,4,SUCCESS,P02-A0-Lee2019_MI-DNN-EEGNET-FULL_TRAIN-MR04,0.25
P02-TRAIN-AUG-SR-PhysioNetMI-DNN-EEGNET-FULL_TRAIN-MR00,PhysioNetMI,0,SUCCESS,P02-A0-PhysioNetMI-DNN-EEGNET-FULL_TRAIN-MR00,0.25
P02-TRAIN-AUG-SR-PhysioNetMI-DNN-EEGNET-FULL_TRAIN-MR01,PhysioNetMI,1,SUCCESS,P02-A0-PhysioNetMI-DNN-EEGNET-FULL_TRAIN-MR01,0.25
P02-TRAIN-AUG-SR-PhysioNetMI-DNN-EEGNET-FULL_TRAIN-MR02,PhysioNetMI,2,SUCCESS,P02-A0-PhysioNetMI-DNN-EEGNET-FULL_TRAIN-MR02,0.25
P02-TRAIN-AUG-SR-PhysioNetMI-DNN-EEGNET-FULL_TRAIN-MR03,PhysioNetMI,3,SUCCESS,P02-A0-PhysioNetMI-DNN-EEGNET-FULL_TRAIN-MR03,0.25
P02-TRAIN-AUG-SR-PhysioNetMI-DNN-EEGNET-FULL_TRAIN-MR04,PhysioNetMI,4,SUCCESS,P02-A0-PhysioNetMI-DNN-EEGNET-FULL_TRAIN-MR04,0.25
