dataset,budget,MR00,MR01,MR02,MR03,MR04
BNCI2014_001,1/class,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT
BNCI2014_001,2/class,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT
BNCI2014_001,4/class,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT
BNCI2014_001,8/class,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT
BNCI2014_001,16/class,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT
BNCI2014_001,32/class,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT
BNCI2014_001,FULL,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT
Lee2019_MI,1/class,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT
Lee2019_MI,2/class,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT
Lee2019_MI,4/class,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT
Lee2019_MI,8/class,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT
Lee2019_MI,16/class,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT
Lee2019_MI,32/class,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT
Lee2019_MI,FULL,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT
PhysioNetMI,1/class,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT
PhysioNetMI,2/class,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT
PhysioNetMI,4/class,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT
PhysioNetMI,8/class,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT
PhysioNetMI,16/class,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT
PhysioNetMI,32/class,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT,UNIFORM_NO_WEIGHT
PhysioNetMI,FULL,SKLEARN_BALANCED_TRAIN_FOLD,SKLEARN_BALANCED_TRAIN_FOLD,SKLEARN_BALANCED_TRAIN_FOLD,SKLEARN_BALANCED_TRAIN_FOLD,UNIFORM_NO_WEIGHT
