dataset,repeat,seed,probability,BACC,F1_MACRO,ACC,ROC_AUC,best_epoch,test_set_used
BNCI2014_001,0,1365878896,0.25,0.8958333333333333,0.8957881024750325,0.8958333333333334,0.9429976851851852,53,False
BNCI2014_001,1,1315210004,0.25,0.9166666666666667,0.9166505884622805,0.9166666666666666,0.972752700617284,157,False
BNCI2014_001,2,379840035,0.25,0.9131944444444444,0.9130172153427967,0.9131944444444444,0.9696180555555556,130,False
BNCI2014_001,3,1670228635,0.25,0.9027777777777778,0.9027730889799855,0.9027777777777778,0.962962962962963,359,False
BNCI2014_001,4,1787249684,0.25,0.9027777777777777,0.9027590198726606,0.9027777777777778,0.9588155864197531,476,False
BNCI2014_001,0,1365878896,0.5,0.8888888888888888,0.8888030888030888,0.8888888888888888,0.9661940586419753,237,False
BNCI2014_001,1,1315210004,0.5,0.9097222222222222,0.909613248998117,0.9097222222222222,0.9709683641975309,349,False
BNCI2014_001,2,379840035,0.5,0.9166666666666667,0.9166626476971305,0.9166666666666666,0.9673514660493827,302,False
BNCI2014_001,3,1670228635,0.5,0.9131944444444444,0.9131850244167119,0.9131944444444444,0.95703125,63,False
BNCI2014_001,4,1787249684,0.5,0.90625,0.9062217344637538,0.90625,0.9673514660493827,342,False
BNCI2014_001,0,1365878896,0.75,0.8819444444444444,0.8818019409975375,0.8819444444444444,0.9644097222222222,157,False
BNCI2014_001,1,1315210004,0.75,0.9270833333333334,0.9270824542155456,0.9270833333333334,0.9751157407407408,139,False
BNCI2014_001,2,379840035,0.75,0.8993055555555556,0.8993043415357536,0.8993055555555556,0.962866512345679,278,False
BNCI2014_001,3,1670228635,0.75,0.9201388888888888,0.920130222463375,0.9201388888888888,0.9710648148148148,482,False
BNCI2014_001,4,1787249684,0.75,0.9097222222222222,0.9097222222222222,0.9097222222222222,0.9738136574074073,171,False
Lee2019_MI,0,355095607,0.25,0.77,0.7695935630452118,0.77,0.8420960000000001,39,False
Lee2019_MI,1,1980134632,0.25,0.8,0.7991774307563781,0.8,0.781824,191,False
Lee2019_MI,2,520730916,0.25,0.78,0.7797744890768146,0.78,0.7569759999999999,116,False
Lee2019_MI,3,874578305,0.25,0.796,0.7954468883861963,0.796,0.799344,233,False
Lee2019_MI,4,2063085012,0.25,0.784,0.7835011867342356,0.784,0.766704,154,False
Lee2019_MI,0,355095607,0.5,0.788,0.786028034364705,0.788,0.7957439999999999,78,False
Lee2019_MI,1,1980134632,0.5,0.772,0.7711762344439984,0.772,0.7699679999999999,77,False
Lee2019_MI,2,520730916,0.5,0.78,0.7794919494515364,0.78,0.7767200000000001,96,False
Lee2019_MI,3,874578305,0.5,0.77,0.7695122880014109,0.77,0.773632,99,False
Lee2019_MI,4,2063085012,0.5,0.774,0.7728871470204,0.774,0.790624,77,False
Lee2019_MI,0,355095607,0.75,0.754,0.7538335915078593,0.754,0.763088,57,False
Lee2019_MI,1,1980134632,0.75,0.774,0.7738471206535618,0.774,0.762768,297,False
Lee2019_MI,2,520730916,0.75,0.77,0.7694235588972431,0.77,0.7749920000000001,200,False
Lee2019_MI,3,874578305,0.75,0.76,0.7599846390168971,0.76,0.761408,275,False
Lee2019_MI,4,2063085012,0.75,0.758,0.7579525587015055,0.758,0.7574080000000001,234,False
PhysioNetMI,0,1238888883,0.25,0.7370947203447937,0.7367021276595744,0.7373737373737373,0.7718026577856141,42,False
PhysioNetMI,1,607716021,0.25,0.734866294446077,0.7334344592844722,0.7353535353535353,0.7780226597446698,34,False
PhysioNetMI,2,64262394,0.25,0.7411597609952003,0.7408546561088933,0.7414141414141414,0.7593136774741243,63,False
PhysioNetMI,3,895439710,0.25,0.7308992065824272,0.7298844208116392,0.7313131313131314,0.7757697456492638,68,False
PhysioNetMI,4,134174486,0.25,0.7391027524733078,0.7386729636708151,0.7393939393939394,0.7829692754758872,42,False
PhysioNetMI,0,1238888883,0.5,0.7226956606915467,0.7208213775529108,0.7232323232323232,0.7503509974858784,79,False
PhysioNetMI,1,607716021,0.5,0.7369722793613478,0.7360541427399507,0.7373737373737373,0.7732066477291278,40,False
PhysioNetMI,2,64262394,0.5,0.7408414144382407,0.738855183328937,0.7414141414141414,0.7653377738596663,42,False
PhysioNetMI,3,895439710,0.5,0.7287932216671564,0.7272345955192947,0.7292929292929293,0.7676396643484507,68,False
PhysioNetMI,4,134174486,0.5,0.7532079537662847,0.7526864987058939,0.7535353535353535,0.7885525843210239,36,False
PhysioNetMI,0,1238888883,0.75,0.7248261338035067,0.7237088354072956,0.7252525252525253,0.7618277990008816,16,False
PhysioNetMI,1,607716021,0.75,0.7452003134489176,0.744903802107192,0.7454545454545455,0.759019819113854,43,False
PhysioNetMI,2,64262394,0.75,0.7370212557547262,0.7363396486167563,0.7373737373737373,0.7725536291507493,43,False
PhysioNetMI,3,895439710,0.75,0.7411597609952003,0.7408546561088933,0.7414141414141414,0.781548960067914,59,False
PhysioNetMI,4,134174486,0.75,0.7187530610245861,0.7175272291352774,0.7191919191919192,0.7656479576843962,31,False
