run_cell_id,dataset_id,branch_id,condition_id,budget_id,model_repeat_index,subject_id,n,BACC,F1_MACRO,ACC,ROC_AUC
P02-A4-PhysioNetMI-CLASSICAL-A4-C0-CORE-FULL_TRAIN-MR00,PhysioNetMI,CLASSICAL_VALIDATION_SELECTED,A4-C0-CORE,FULL_TRAIN,0,6,45,0.43154761904761907,0.41558441558441556,0.4444444444444444,0.45238095238095233
P02-A4-PhysioNetMI-CLASSICAL-A4-C0-CORE-FULL_TRAIN-MR00,PhysioNetMI,CLASSICAL_VALIDATION_SELECTED,A4-C0-CORE,FULL_TRAIN,0,27,45,0.4990118577075099,0.3630769230769231,0.4888888888888889,0.5592885375494072
P02-A4-PhysioNetMI-CLASSICAL-A4-C0-CORE-FULL_TRAIN-MR00,PhysioNetMI,CLASSICAL_VALIDATION_SELECTED,A4-C0-CORE,FULL_TRAIN,0,39,45,0.4209486166007905,0.4196428571428571,0.4222222222222222,0.4980237154150198
P02-A4-PhysioNetMI-CLASSICAL-A4-C0-CORE-FULL_TRAIN-MR00,PhysioNetMI,CLASSICAL_VALIDATION_SELECTED,A4-C0-CORE,FULL_TRAIN,0,40,45,0.5416666666666666,0.5296167247386759,0.5333333333333333,0.6031746031746033
P02-A4-PhysioNetMI-CLASSICAL-A4-C0-CORE-FULL_TRAIN-MR00,PhysioNetMI,CLASSICAL_VALIDATION_SELECTED,A4-C0-CORE,FULL_TRAIN,0,47,45,0.6398809523809523,0.6025974025974026,0.6222222222222222,0.6884920634920635
P02-A4-PhysioNetMI-CLASSICAL-A4-C0-CORE-FULL_TRAIN-MR00,PhysioNetMI,CLASSICAL_VALIDATION_SELECTED,A4-C0-CORE,FULL_TRAIN,0,48,45,0.5859683794466404,0.5166760881854155,0.5777777777777777,0.6462450592885376
P02-A4-PhysioNetMI-CLASSICAL-A4-C0-CORE-FULL_TRAIN-MR00,PhysioNetMI,CLASSICAL_VALIDATION_SELECTED,A4-C0-CORE,FULL_TRAIN,0,57,45,0.5476190476190476,0.5181030086690463,0.5333333333333333,0.6468253968253969
P02-A4-PhysioNetMI-CLASSICAL-A4-C0-CORE-FULL_TRAIN-MR00,PhysioNetMI,CLASSICAL_VALIDATION_SELECTED,A4-C0-CORE,FULL_TRAIN,0,71,45,0.6739130434782609,0.6309458720612356,0.6666666666666666,0.8873517786561265
P02-A4-PhysioNetMI-CLASSICAL-A4-C0-CORE-FULL_TRAIN-MR00,PhysioNetMI,CLASSICAL_VALIDATION_SELECTED,A4-C0-CORE,FULL_TRAIN,0,93,45,0.8448616600790514,0.8444444444444444,0.8444444444444444,0.9347826086956522
P02-A4-PhysioNetMI-CLASSICAL-A4-C0-CORE-FULL_TRAIN-MR00,PhysioNetMI,CLASSICAL_VALIDATION_SELECTED,A4-C0-CORE,FULL_TRAIN,0,98,45,0.46936758893280633,0.46,0.4666666666666667,0.48221343873517786
P02-A4-PhysioNetMI-CLASSICAL-A4-C0-CORE-FULL_TRAIN-MR00,PhysioNetMI,CLASSICAL_VALIDATION_SELECTED,A4-C0-CORE,FULL_TRAIN,0,107,45,0.5535714285714286,0.5535714285714286,0.5555555555555556,0.5257936507936508
P02-A4-PhysioNetMI-CLASSICAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR00,PhysioNetMI,CLASSICAL_VALIDATION_SELECTED,A4-C1-LONG-3P5S,FULL_TRAIN,0,107,45,0.4553571428571429,0.4343891402714932,0.4444444444444444,0.4821428571428571
P02-A4-PhysioNetMI-CLASSICAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR00,PhysioNetMI,CLASSICAL_VALIDATION_SELECTED,A4-C1-LONG-3P5S,FULL_TRAIN,0,27,45,0.45454545454545453,0.3076923076923077,0.4444444444444444,0.5790513833992095
P02-A4-PhysioNetMI-CLASSICAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR00,PhysioNetMI,CLASSICAL_VALIDATION_SELECTED,A4-C1-LONG-3P5S,FULL_TRAIN,0,39,45,0.5513833992094861,0.537037037037037,0.5555555555555556,0.575098814229249
P02-A4-PhysioNetMI-CLASSICAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR00,PhysioNetMI,CLASSICAL_VALIDATION_SELECTED,A4-C1-LONG-3P5S,FULL_TRAIN,0,40,45,0.5803571428571428,0.5777777777777777,0.5777777777777777,0.6507936507936508
P02-A4-PhysioNetMI-CLASSICAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR00,PhysioNetMI,CLASSICAL_VALIDATION_SELECTED,A4-C1-LONG-3P5S,FULL_TRAIN,0,47,45,0.5952380952380952,0.5558441558441558,0.5777777777777777,0.6468253968253969
P02-A4-PhysioNetMI-CLASSICAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR00,PhysioNetMI,CLASSICAL_VALIDATION_SELECTED,A4-C1-LONG-3P5S,FULL_TRAIN,0,48,45,0.5869565217391304,0.4973544973544973,0.5777777777777777,0.6758893280632411
P02-A4-PhysioNetMI-CLASSICAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR00,PhysioNetMI,CLASSICAL_VALIDATION_SELECTED,A4-C1-LONG-3P5S,FULL_TRAIN,0,57,45,0.6517857142857142,0.6428571428571428,0.6444444444444445,0.6547619047619048
P02-A4-PhysioNetMI-CLASSICAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR00,PhysioNetMI,CLASSICAL_VALIDATION_SELECTED,A4-C1-LONG-3P5S,FULL_TRAIN,0,6,45,0.47023809523809523,0.46640316205533594,0.4666666666666667,0.4484126984126984
P02-A4-PhysioNetMI-CLASSICAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR00,PhysioNetMI,CLASSICAL_VALIDATION_SELECTED,A4-C1-LONG-3P5S,FULL_TRAIN,0,71,45,0.6304347826086957,0.567552289429056,0.6222222222222222,0.7193675889328064
P02-A4-PhysioNetMI-CLASSICAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR00,PhysioNetMI,CLASSICAL_VALIDATION_SELECTED,A4-C1-LONG-3P5S,FULL_TRAIN,0,93,45,0.7588932806324111,0.751131221719457,0.7555555555555555,0.9150197628458498
P02-A4-PhysioNetMI-CLASSICAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR00,PhysioNetMI,CLASSICAL_VALIDATION_SELECTED,A4-C1-LONG-3P5S,FULL_TRAIN,0,98,45,0.5148221343873518,0.4989878542510121,0.5111111111111111,0.5217391304347826
P02-A4-PhysioNetMI-CLASSICAL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00,PhysioNetMI,CLASSICAL_VALIDATION_SELECTED,A4-C2-MULTI-HARD-VOTE,FULL_TRAIN,0,107,45,0.4494047619047619,0.44334487877288475,0.4444444444444444,
P02-A4-PhysioNetMI-CLASSICAL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00,PhysioNetMI,CLASSICAL_VALIDATION_SELECTED,A4-C2-MULTI-HARD-VOTE,FULL_TRAIN,0,27,45,0.4980237154150198,0.3915343915343915,0.4888888888888889,
P02-A4-PhysioNetMI-CLASSICAL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00,PhysioNetMI,CLASSICAL_VALIDATION_SELECTED,A4-C2-MULTI-HARD-VOTE,FULL_TRAIN,0,39,45,0.6442687747035574,0.6442687747035574,0.6444444444444445,
P02-A4-PhysioNetMI-CLASSICAL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00,PhysioNetMI,CLASSICAL_VALIDATION_SELECTED,A4-C2-MULTI-HARD-VOTE,FULL_TRAIN,0,40,45,0.5892857142857143,0.5701357466063348,0.5777777777777777,
P02-A4-PhysioNetMI-CLASSICAL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00,PhysioNetMI,CLASSICAL_VALIDATION_SELECTED,A4-C2-MULTI-HARD-VOTE,FULL_TRAIN,0,47,45,0.5982142857142857,0.5454545454545454,0.5777777777777777,
