comparison_id,dataset_id,condition_id,budget_id,repeat,strongest_constituent_branch,closure_status,n,median_delta_BACC,p_value,holm_adjusted_p,rank_biserial,ci_low,ci_high
P02-A4-PhysioNetMI-ENSEMBLE-A4-C4-MODEL-HARD-VOTE-FULL_TRAIN-ER00:VS_STRONGEST,PhysioNetMI,A4-C4-MODEL-HARD-VOTE,FULL_TRAIN,0,DNN-EEGNET,COMPLETE,11.0,-0.0267857142857143,0.037109375,0.07421875,-0.7454545454545455,-0.15217391304347827,-0.005952380952380931
P02-A4-PhysioNetMI-ENSEMBLE-A4-C5-MODEL-PROB-AVG-FULL_TRAIN-ER00:VS_STRONGEST,PhysioNetMI,A4-C5-MODEL-PROB-AVG,FULL_TRAIN,0,DNN-EEGNET,COMPLETE,11.0,-0.0267857142857143,0.123046875,0.123046875,-0.5454545454545454,-0.08794466403162049,0.0039525691699604515
P02-A4-PhysioNetMI-ENSEMBLE-A4-C4-MODEL-HARD-VOTE-FULL_TRAIN-ER01:VS_STRONGEST,PhysioNetMI,A4-C4-MODEL-HARD-VOTE,FULL_TRAIN,1,DNN-EEGNET,COMPLETE,11.0,-0.04166666666666674,0.123046875,0.24609375,-0.5454545454545454,-0.08893280632411071,-0.0009881422924901129
P02-A4-PhysioNetMI-ENSEMBLE-A4-C5-MODEL-PROB-AVG-FULL_TRAIN-ER01:VS_STRONGEST,PhysioNetMI,A4-C5-MODEL-PROB-AVG,FULL_TRAIN,1,DNN-EEGNET,COMPLETE,11.0,-0.06126482213438744,0.123046875,0.24609375,-0.5454545454545454,-0.10770750988142291,0.011904761904761862
P02-A4-PhysioNetMI-ENSEMBLE-A4-C4-MODEL-HARD-VOTE-FULL_TRAIN-ER02:VS_STRONGEST,PhysioNetMI,A4-C4-MODEL-HARD-VOTE,FULL_TRAIN,2,DNN-EEGNET,COMPLETE,11.0,-0.014880952380952439,0.900390625,1.0,-0.05454545454545454,-0.10869565217391308,0.042490118577075076
P02-A4-PhysioNetMI-ENSEMBLE-A4-C5-MODEL-PROB-AVG-FULL_TRAIN-ER02:VS_STRONGEST,PhysioNetMI,A4-C5-MODEL-PROB-AVG,FULL_TRAIN,2,DNN-EEGNET,COMPLETE,11.0,0.005952380952380931,0.8984375,1.0,0.06060606060606061,-0.08498023715415026,0.01976284584980237
P02-A4-PhysioNetMI-ENSEMBLE-A4-C4-MODEL-HARD-VOTE-FULL_TRAIN-ER03:VS_STRONGEST,PhysioNetMI,A4-C4-MODEL-HARD-VOTE,FULL_TRAIN,3,DNN-EEGNET,COMPLETE,11.0,-0.021739130434782594,0.1640625,0.328125,-0.5555555555555556,-0.12944664031620545,0.0
P02-A4-PhysioNetMI-ENSEMBLE-A4-C5-MODEL-PROB-AVG-FULL_TRAIN-ER03:VS_STRONGEST,PhysioNetMI,A4-C5-MODEL-PROB-AVG,FULL_TRAIN,3,DNN-EEGNET,COMPLETE,11.0,-0.03952569169960485,0.009765625,0.328125,-0.8484848484848485,-0.13043478260869568,-0.021739130434782483
P02-A4-PhysioNetMI-ENSEMBLE-A4-C4-MODEL-HARD-VOTE-FULL_TRAIN-ER04:VS_STRONGEST,PhysioNetMI,A4-C4-MODEL-HARD-VOTE,FULL_TRAIN,4,DNN-EEGNET,COMPLETE,11.0,-0.04347826086956519,0.0185546875,0.037109375,-0.7878787878787878,-0.13043478260869568,-0.011904761904761862
P02-A4-PhysioNetMI-ENSEMBLE-A4-C5-MODEL-PROB-AVG-FULL_TRAIN-ER04:VS_STRONGEST,PhysioNetMI,A4-C5-MODEL-PROB-AVG,FULL_TRAIN,4,DNN-EEGNET,COMPLETE,11.0,-0.011904761904761862,0.76953125,0.76953125,-0.12727272727272726,-0.066205533596838,0.04166666666666663
