comparison_id,dataset_id,role_id,budget_id,repeat,alternative_condition,closure_status,n,median_delta_BACC,p_value,holm_adjusted_p,rank_biserial,ci_low,ci_high
P02-A4-PhysioNetMI-CLASSICAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,CLASSICAL,FULL_TRAIN,0,A4-C1-LONG-3P5S,COMPLETE,11.0,0.0009881422924900019,0.9482421875,1.0,0.030303030303030304,-0.07659071593170041,0.038690476190476164
P02-A4-PhysioNetMI-CLASSICAL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,CLASSICAL,FULL_TRAIN,0,A4-C2-MULTI-HARD-VOTE,COMPLETE,11.0,-0.0009881422924901129,0.6376953125,1.0,0.18181818181818182,-0.05059523809523814,0.04761904761904767
P02-A4-PhysioNetMI-CLASSICAL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,CLASSICAL,FULL_TRAIN,0,A4-C3-MULTI-PROB-AVG,COMPLETE,11.0,0.0,0.42578125,1.0,0.3333333333333333,-0.07658473253620833,0.0
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C1-LONG-3P5S-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,RIEMANNIAN,FULL_TRAIN,0,A4-C1-LONG-3P5S,COMPLETE,11.0,0.021739130434782594,0.2783203125,0.8349609375,0.3939393939393939,-0.023809523809523836,0.04347826086956519
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,RIEMANNIAN,FULL_TRAIN,0,A4-C2-MULTI-HARD-VOTE,COMPLETE,11.0,-0.0019762845849802257,0.8984375,1.0,0.06060606060606061,-0.0434782608695653,0.024703557312252933
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,RIEMANNIAN,FULL_TRAIN,0,A4-C3-MULTI-PROB-AVG,COMPLETE,11.0,0.029761904761904656,0.6953125,1.0,0.16363636363636364,-0.05654761904761907,0.04249011857707519
P02-A4-PhysioNetMI-NEURAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,NEURAL,FULL_TRAIN,0,A4-C1-LONG-3P5S,COMPLETE,11.0,0.06845238095238093,0.46484375,1.0,0.2727272727272727,-0.1314229249011858,0.09288537549407105
P02-A4-PhysioNetMI-NEURAL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,NEURAL,FULL_TRAIN,0,A4-C2-MULTI-HARD-VOTE,COMPLETE,11.0,0.0019762845849802257,0.6953125,1.0,0.16363636363636364,-0.06521739130434778,0.02371541501976282
P02-A4-PhysioNetMI-NEURAL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,NEURAL,FULL_TRAIN,0,A4-C3-MULTI-PROB-AVG,COMPLETE,11.0,0.0029644268774704496,0.68359375,1.0,0.15151515151515152,-0.045454545454545525,0.045454545454545414
P02-A4-PhysioNetMI-NEURAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR01:VS:A4-C0-CORE,PhysioNetMI,NEURAL,FULL_TRAIN,1,A4-C1-LONG-3P5S,GOVERNED_NON_SUCCESS,,,,,,,
P02-A4-PhysioNetMI-NEURAL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR01:VS:A4-C0-CORE,PhysioNetMI,NEURAL,FULL_TRAIN,1,A4-C2-MULTI-HARD-VOTE,GOVERNED_NON_SUCCESS,,,,,,,
P02-A4-PhysioNetMI-NEURAL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR01:VS:A4-C0-CORE,PhysioNetMI,NEURAL,FULL_TRAIN,1,A4-C3-MULTI-PROB-AVG,GOVERNED_NON_SUCCESS,,,,,,,
P02-A4-PhysioNetMI-NEURAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR02:VS:A4-C0-CORE,PhysioNetMI,NEURAL,FULL_TRAIN,2,A4-C1-LONG-3P5S,GOVERNED_NON_SUCCESS,,,,,,,
P02-A4-PhysioNetMI-NEURAL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR02:VS:A4-C0-CORE,PhysioNetMI,NEURAL,FULL_TRAIN,2,A4-C2-MULTI-HARD-VOTE,GOVERNED_NON_SUCCESS,,,,,,,
P02-A4-PhysioNetMI-NEURAL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR02:VS:A4-C0-CORE,PhysioNetMI,NEURAL,FULL_TRAIN,2,A4-C3-MULTI-PROB-AVG,GOVERNED_NON_SUCCESS,,,,,,,
P02-A4-PhysioNetMI-NEURAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR03:VS:A4-C0-CORE,PhysioNetMI,NEURAL,FULL_TRAIN,3,A4-C1-LONG-3P5S,GOVERNED_NON_SUCCESS,,,,,,,
P02-A4-PhysioNetMI-NEURAL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR03:VS:A4-C0-CORE,PhysioNetMI,NEURAL,FULL_TRAIN,3,A4-C2-MULTI-HARD-VOTE,GOVERNED_NON_SUCCESS,,,,,,,
P02-A4-PhysioNetMI-NEURAL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR03:VS:A4-C0-CORE,PhysioNetMI,NEURAL,FULL_TRAIN,3,A4-C3-MULTI-PROB-AVG,GOVERNED_NON_SUCCESS,,,,,,,
P02-A4-PhysioNetMI-NEURAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR04:VS:A4-C0-CORE,PhysioNetMI,NEURAL,FULL_TRAIN,4,A4-C1-LONG-3P5S,GOVERNED_NON_SUCCESS,,,,,,,
P02-A4-PhysioNetMI-NEURAL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR04:VS:A4-C0-CORE,PhysioNetMI,NEURAL,FULL_TRAIN,4,A4-C2-MULTI-HARD-VOTE,GOVERNED_NON_SUCCESS,,,,,,,
P02-A4-PhysioNetMI-NEURAL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR04:VS:A4-C0-CORE,PhysioNetMI,NEURAL,FULL_TRAIN,4,A4-C3-MULTI-PROB-AVG,GOVERNED_NON_SUCCESS,,,,,,,
P02-A4-PhysioNetMI-SSL-A4-C1-LONG-3P5S-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,SSL,FULL_TRAIN,0,A4-C1-LONG-3P5S,GOVERNED_NON_SUCCESS,,,,,,,
P02-A4-PhysioNetMI-SSL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,SSL,FULL_TRAIN,0,A4-C2-MULTI-HARD-VOTE,COMPLETE,11.0,0.023809523809523725,0.1748046875,0.349609375,0.48484848484848486,-0.06719367588932812,0.04841897233201575
P02-A4-PhysioNetMI-SSL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,SSL,FULL_TRAIN,0,A4-C3-MULTI-PROB-AVG,COMPLETE,11.0,0.0029644268774703386,0.7490234375,0.7490234375,0.12121212121212122,-0.06719367588932812,0.04249011857707519
P02-A4-PhysioNetMI-SSL-A4-C1-LONG-3P5S-FULL_TRAIN-MR01:VS:A4-C0-CORE,PhysioNetMI,SSL,FULL_TRAIN,1,A4-C1-LONG-3P5S,GOVERNED_NON_SUCCESS,,,,,,,
P02-A4-PhysioNetMI-SSL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR01:VS:A4-C0-CORE,PhysioNetMI,SSL,FULL_TRAIN,1,A4-C2-MULTI-HARD-VOTE,GOVERNED_NON_SUCCESS,,,,,,,
P02-A4-PhysioNetMI-SSL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR01:VS:A4-C0-CORE,PhysioNetMI,SSL,FULL_TRAIN,1,A4-C3-MULTI-PROB-AVG,GOVERNED_NON_SUCCESS,,,,,,,
P02-A4-PhysioNetMI-SSL-A4-C1-LONG-3P5S-FULL_TRAIN-MR02:VS:A4-C0-CORE,PhysioNetMI,SSL,FULL_TRAIN,2,A4-C1-LONG-3P5S,GOVERNED_NON_SUCCESS,,,,,,,
P02-A4-PhysioNetMI-SSL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR02:VS:A4-C0-CORE,PhysioNetMI,SSL,FULL_TRAIN,2,A4-C2-MULTI-HARD-VOTE,GOVERNED_NON_SUCCESS,,,,,,,
P02-A4-PhysioNetMI-SSL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR02:VS:A4-C0-CORE,PhysioNetMI,SSL,FULL_TRAIN,2,A4-C3-MULTI-PROB-AVG,GOVERNED_NON_SUCCESS,,,,,,,
P02-A4-PhysioNetMI-SSL-A4-C1-LONG-3P5S-FULL_TRAIN-MR03:VS:A4-C0-CORE,PhysioNetMI,SSL,FULL_TRAIN,3,A4-C1-LONG-3P5S,GOVERNED_NON_SUCCESS,,,,,,,
P02-A4-PhysioNetMI-SSL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR03:VS:A4-C0-CORE,PhysioNetMI,SSL,FULL_TRAIN,3,A4-C2-MULTI-HARD-VOTE,GOVERNED_NON_SUCCESS,,,,,,,
P02-A4-PhysioNetMI-SSL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR03:VS:A4-C0-CORE,PhysioNetMI,SSL,FULL_TRAIN,3,A4-C3-MULTI-PROB-AVG,GOVERNED_NON_SUCCESS,,,,,,,
P02-A4-PhysioNetMI-SSL-A4-C1-LONG-3P5S-FULL_TRAIN-MR04:VS:A4-C0-CORE,PhysioNetMI,SSL,FULL_TRAIN,4,A4-C1-LONG-3P5S,GOVERNED_NON_SUCCESS,,,,,,,
P02-A4-PhysioNetMI-SSL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR04:VS:A4-C0-CORE,PhysioNetMI,SSL,FULL_TRAIN,4,A4-C2-MULTI-HARD-VOTE,GOVERNED_NON_SUCCESS,,,,,,,
P02-A4-PhysioNetMI-SSL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR04:VS:A4-C0-CORE,PhysioNetMI,SSL,FULL_TRAIN,4,A4-C3-MULTI-PROB-AVG,GOVERNED_NON_SUCCESS,,,,,,,
P02-A4-PhysioNetMI-CLASSICAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00:VS:A4-C0-CORE,PhysioNetMI,CLASSICAL,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,0,A4-C1-LONG-3P5S,GOVERNED_NON_SUCCESS,,,,,,,
P02-A4-PhysioNetMI-CLASSICAL-A4-C2-MULTI-HARD-VOTE-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00:VS:A4-C0-CORE,PhysioNetMI,CLASSICAL,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,0,A4-C2-MULTI-HARD-VOTE,GOVERNED_NON_SUCCESS,,,,,,,
P02-A4-PhysioNetMI-CLASSICAL-A4-C3-MULTI-PROB-AVG-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00:VS:A4-C0-CORE,PhysioNetMI,CLASSICAL,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,0,A4-C3-MULTI-PROB-AVG,GOVERNED_NON_SUCCESS,,,,,,,
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00:VS:A4-C0-CORE,PhysioNetMI,RIEMANNIAN,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,0,A4-C1-LONG-3P5S,COMPLETE,11.0,0.0,1.0,1.0,-1.0,0.0,0.0
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C2-MULTI-HARD-VOTE-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00:VS:A4-C0-CORE,PhysioNetMI,RIEMANNIAN,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,0,A4-C2-MULTI-HARD-VOTE,COMPLETE,11.0,0.0,1.0,1.0,-0.3333333333333333,0.0,0.0
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C3-MULTI-PROB-AVG-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00:VS:A4-C0-CORE,PhysioNetMI,RIEMANNIAN,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,0,A4-C3-MULTI-PROB-AVG,COMPLETE,11.0,0.0,1.0,1.0,0.3333333333333333,0.0,0.0
P02-A4-PhysioNetMI-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00:VS:A4-C0-CORE,PhysioNetMI,NEURAL,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,0,A4-C1-LONG-3P5S,COMPLETE,11.0,0.0,1.0,1.0,0.022222222222222223,-0.04051383399209485,0.0029761904761904656
P02-A4-PhysioNetMI-NEURAL-A4-C2-MULTI-HARD-VOTE-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00:VS:A4-C0-CORE,PhysioNetMI,NEURAL,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,0,A4-C2-MULTI-HARD-VOTE,COMPLETE,11.0,0.0,0.65234375,1.0,0.2,-0.04051383399209485,0.015810276679841917
P02-A4-PhysioNetMI-NEURAL-A4-C3-MULTI-PROB-AVG-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00:VS:A4-C0-CORE,PhysioNetMI,NEURAL,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,0,A4-C3-MULTI-PROB-AVG,COMPLETE,11.0,0.0,0.91015625,1.0,0.06666666666666667,-0.04051383399209485,0.014880952380952328
P02-A4-PhysioNetMI-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR01:VS:A4-C0-CORE,PhysioNetMI,NEURAL,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,A4-C1-LONG-3P5S,GOVERNED_NON_SUCCESS,,,,,,,
P02-A4-PhysioNetMI-NEURAL-A4-C2-MULTI-HARD-VOTE-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR01:VS:A4-C0-CORE,PhysioNetMI,NEURAL,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,A4-C2-MULTI-HARD-VOTE,GOVERNED_NON_SUCCESS,,,,,,,
P02-A4-PhysioNetMI-NEURAL-A4-C3-MULTI-PROB-AVG-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR01:VS:A4-C0-CORE,PhysioNetMI,NEURAL,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,A4-C3-MULTI-PROB-AVG,GOVERNED_NON_SUCCESS,,,,,,,
P02-A4-PhysioNetMI-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR02:VS:A4-C0-CORE,PhysioNetMI,NEURAL,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,2,A4-C1-LONG-3P5S,GOVERNED_NON_SUCCESS,,,,,,,
P02-A4-PhysioNetMI-NEURAL-A4-C2-MULTI-HARD-VOTE-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR02:VS:A4-C0-CORE,PhysioNetMI,NEURAL,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,2,A4-C2-MULTI-HARD-VOTE,GOVERNED_NON_SUCCESS,,,,,,,
P02-A4-PhysioNetMI-NEURAL-A4-C3-MULTI-PROB-AVG-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR02:VS:A4-C0-CORE,PhysioNetMI,NEURAL,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,2,A4-C3-MULTI-PROB-AVG,GOVERNED_NON_SUCCESS,,,,,,,
P02-A4-PhysioNetMI-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR03:VS:A4-C0-CORE,PhysioNetMI,NEURAL,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,3,A4-C1-LONG-3P5S,GOVERNED_NON_SUCCESS,,,,,,,
P02-A4-PhysioNetMI-NEURAL-A4-C2-MULTI-HARD-VOTE-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR03:VS:A4-C0-CORE,PhysioNetMI,NEURAL,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,3,A4-C2-MULTI-HARD-VOTE,GOVERNED_NON_SUCCESS,,,,,,,
P02-A4-PhysioNetMI-NEURAL-A4-C3-MULTI-PROB-AVG-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR03:VS:A4-C0-CORE,PhysioNetMI,NEURAL,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,3,A4-C3-MULTI-PROB-AVG,GOVERNED_NON_SUCCESS,,,,,,,
P02-A4-PhysioNetMI-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR04:VS:A4-C0-CORE,PhysioNetMI,NEURAL,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,4,A4-C1-LONG-3P5S,GOVERNED_NON_SUCCESS,,,,,,,
P02-A4-PhysioNetMI-NEURAL-A4-C2-MULTI-HARD-VOTE-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR04:VS:A4-C0-CORE,PhysioNetMI,NEURAL,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,4,A4-C2-MULTI-HARD-VOTE,GOVERNED_NON_SUCCESS,,,,,,,
P02-A4-PhysioNetMI-NEURAL-A4-C3-MULTI-PROB-AVG-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR04:VS:A4-C0-CORE,PhysioNetMI,NEURAL,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,4,A4-C3-MULTI-PROB-AVG,GOVERNED_NON_SUCCESS,,,,,,,
