budget_short,role_id,condition_short,n_effects,BACC_A4_mean,BACC_A4_sd,delta_BACC_mean,delta_BACC_median,delta_BACC_sd,delta_BACC_min,delta_BACC_max,positive_delta_fraction,negative_delta_fraction,delta_F1_mean
128,NEURAL,C1,9,0.5909661891200098,0.030406600921000393,0.019402717335853033,0.016666666666666607,0.02868557682255345,-0.03125,0.06944444444444442,0.8888888888888888,0.1111111111111111,0.021380839136126945
128,NEURAL,C2,9,0.5755566701268281,0.028783653372905612,0.0039931983426713235,0.008333333333333304,0.027594724159107686,-0.03125,0.04518505210204815,0.5555555555555556,0.4444444444444444,0.004134579438776302
128,NEURAL,C3,9,0.5715006620886067,0.022532533497023458,-6.280969555012067e-05,-0.008803449514912076,0.03267398558383056,-0.0625,0.0442867409270572,0.4444444444444444,0.5555555555555556,-0.001888859318369154
128,SSL,C2,9,0.5174486132737122,0.018696413088070872,0.0021078261756786055,0.0,0.013987693951733934,-0.015000000000000013,0.021666666666666723,0.4444444444444444,0.4444444444444444,-0.0032872000099112347
128,SSL,C3,9,0.5216673542628746,0.023055035519822888,0.006326567164841195,0.011947538627380516,0.024754386299122116,-0.04166666666666674,0.03472222222222221,0.6666666666666666,0.3333333333333333,0.007090958566376303
256,NEURAL,C1,9,0.6421748834413524,0.06007309165682997,0.03291333404311007,0.026666666666666727,0.022687717356306657,0.011666666666666714,0.08333333333333326,1.0,0.0,0.033593548213345294
256,NEURAL,C2,9,0.6263215321861567,0.03427673470180606,0.017059982787914305,0.007994969457420065,0.05184802919984529,-0.08166666666666655,0.08680555555555558,0.5555555555555556,0.2222222222222222,0.018682833004030494
256,NEURAL,C3,9,0.6323172214015429,0.034964347855469466,0.023055672003300498,0.01388888888888895,0.05806650357033738,-0.07999999999999985,0.10763888888888884,0.6666666666666666,0.3333333333333333,0.023269119483305394
256,SSL,C2,9,0.5442099186862033,0.026061111900783574,0.01775209827746063,0.014552641034854541,0.016964961240719913,-0.0050000000000000044,0.04513888888888895,0.8888888888888888,0.1111111111111111,0.019940405433843407
256,SSL,C3,9,0.5426608420613691,0.027661549455998607,0.016203021652626413,0.008333333333333415,0.019658905152193977,-0.0016666666666667052,0.04861111111111105,0.7777777777777778,0.1111111111111111,0.018513400899236462
64,NEURAL,C1,9,0.5490476737067647,0.03250957722427274,0.005735001530456036,0.011666666666666603,0.03299205622643583,-0.059647862019403586,0.04491555874955078,0.5555555555555556,0.4444444444444444,-0.0026859819670669183
64,NEURAL,C2,9,0.537729141436322,0.028037251773878287,-0.005583530739986625,0.013333333333333308,0.04266770879725699,-0.057402084081925986,0.04410707869205899,0.5555555555555556,0.4444444444444444,-0.017291432561709383
64,NEURAL,C3,9,0.5397722060304405,0.025401668695918492,-0.003540466145868029,-0.01041666666666674,0.041297290611551817,-0.05833333333333335,0.08333333333333326,0.4444444444444444,0.5555555555555556,0.00045083932281960354
64,SSL,C2,9,0.4938206616006353,0.010598046600534598,-0.010731175390266289,-0.011049227452389454,0.023631669197724952,-0.04861111111111105,0.019999999999999962,0.3333333333333333,0.6666666666666666,-0.007702691303254942
64,SSL,C3,9,0.501536927243449,0.013451029147449327,-0.0030149097474525544,-0.012845849802371523,0.02854629412484351,-0.04513888888888884,0.036666666666666625,0.4444444444444444,0.5555555555555556,0.0002241121566166071
