file,status,dataset_id,budget_id,budget_short,role_id,model_repeat_index,branch,member,recipe_id,execution_device,epochs_completed,best_epoch,test_loaded_after_checkpoint_sealed,test_set_used_for_selection,class_weight_frozen_from_a0,checkpoint_sha256_present,reason
A4MEM-BNCI2014_001__FULL_TRAIN__DNN-EEGNET__1__1.json,SUCCESS,,,None,,,DNN-EEGNET,1,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,182.0,62.0,True,False,True,True,
A4MEM-BNCI2014_001__FULL_TRAIN__DNN-EEGNET__1__2.json,SUCCESS,,,None,,,DNN-EEGNET,2,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,211.0,91.0,True,False,True,True,
A4MEM-BNCI2014_001__FULL_TRAIN__DNN-EEGNET__1__3.json,SUCCESS,,,None,,,DNN-EEGNET,3,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,255.0,135.0,True,False,True,True,
A4MEM-BNCI2014_001__FULL_TRAIN__DNN-EEGNET__1__LONG.json,SUCCESS,,,None,,,DNN-EEGNET,LONG,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,238.0,118.0,True,False,True,True,
A4MEM-BNCI2014_001__FULL_TRAIN__DNN-EEGNET__2__1.json,SUCCESS,,,None,,,DNN-EEGNET,1,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,403.0,283.0,True,False,True,True,
A4MEM-BNCI2014_001__FULL_TRAIN__DNN-EEGNET__2__2.json,SUCCESS,,,None,,,DNN-EEGNET,2,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,504.0,384.0,True,False,True,True,
A4MEM-BNCI2014_001__FULL_TRAIN__DNN-EEGNET__2__3.json,SUCCESS,,,None,,,DNN-EEGNET,3,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,537.0,417.0,True,False,True,True,
A4MEM-BNCI2014_001__FULL_TRAIN__DNN-EEGNET__2__LONG.json,SUCCESS,,,None,,,DNN-EEGNET,LONG,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,183.0,63.0,True,False,True,True,
A4MEM-BNCI2014_001__FULL_TRAIN__SSL-CBRAMOD__1__1.json,SUCCESS,,,None,,,SSL-CBRAMOD,1,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:1,45.0,5.0,True,False,True,True,
A4MEM-BNCI2014_001__FULL_TRAIN__SSL-CBRAMOD__1__2.json,SUCCESS,,,None,,,SSL-CBRAMOD,2,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,51.0,11.0,True,False,True,True,
A4MEM-BNCI2014_001__FULL_TRAIN__SSL-CBRAMOD__1__3.json,SUCCESS,,,None,,,SSL-CBRAMOD,3,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,47.0,7.0,True,False,True,True,
A4MEM-BNCI2014_001__FULL_TRAIN__SSL-CBRAMOD__1__LONG.json,INPUT_INCOMPATIBLE,,,None,,,SSL-CBRAMOD,LONG,,,,,,,,False,CBRAMOD_A4_LONG_INCOMPATIBLE_FAIL_CLOSED_NO_PAD_NO_CROP
A4MEM-BNCI2014_001__FULL_TRAIN__SSL-CBRAMOD__2__1.json,SUCCESS,,,None,,,SSL-CBRAMOD,1,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,47.0,7.0,True,False,True,True,
A4MEM-BNCI2014_001__FULL_TRAIN__SSL-CBRAMOD__2__2.json,SUCCESS,,,None,,,SSL-CBRAMOD,2,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,48.0,8.0,True,False,True,True,
A4MEM-BNCI2014_001__FULL_TRAIN__SSL-CBRAMOD__2__3.json,SUCCESS,,,None,,,SSL-CBRAMOD,3,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,53.0,13.0,True,False,True,True,
A4MEM-BNCI2014_001__FULL_TRAIN__SSL-CBRAMOD__2__LONG.json,INPUT_INCOMPATIBLE,,,None,,,SSL-CBRAMOD,LONG,,,,,,,,False,CBRAMOD_A4_LONG_INCOMPATIBLE_FAIL_CLOSED_NO_PAD_NO_CROP
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS__DNN-EEGNET__0__1.json,SUCCESS,,,None,,,DNN-EEGNET,1,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:1,281.0,161.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS__DNN-EEGNET__0__2.json,SUCCESS,,,None,,,DNN-EEGNET,2,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:1,439.0,319.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS__DNN-EEGNET__0__3.json,SUCCESS,,,None,,,DNN-EEGNET,3,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:1,517.0,397.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS__DNN-EEGNET__0__LONG.json,SUCCESS,,,None,,,DNN-EEGNET,LONG,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:1,343.0,223.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS__DNN-EEGNET__1__1.json,SUCCESS,,,None,,,DNN-EEGNET,1,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:1,232.0,112.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS__DNN-EEGNET__1__2.json,SUCCESS,,,None,,,DNN-EEGNET,2,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:1,232.0,112.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS__DNN-EEGNET__1__3.json,SUCCESS,,,None,,,DNN-EEGNET,3,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:1,414.0,294.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS__DNN-EEGNET__1__LONG.json,SUCCESS,,,None,,,DNN-EEGNET,LONG,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:1,305.0,185.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS__DNN-EEGNET__2__1.json,SUCCESS,,,None,,,DNN-EEGNET,1,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,209.0,89.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS__DNN-EEGNET__2__2.json,SUCCESS,,,None,,,DNN-EEGNET,2,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,308.0,188.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS__DNN-EEGNET__2__3.json,SUCCESS,,,None,,,DNN-EEGNET,3,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,337.0,217.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS__DNN-EEGNET__2__LONG.json,SUCCESS,,,None,,,DNN-EEGNET,LONG,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,310.0,190.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS__SSL-CBRAMOD__0__1.json,SUCCESS,,,None,,,SSL-CBRAMOD,1,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:1,69.0,29.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS__SSL-CBRAMOD__0__2.json,SUCCESS,,,None,,,SSL-CBRAMOD,2,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:1,43.0,3.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS__SSL-CBRAMOD__0__3.json,SUCCESS,,,None,,,SSL-CBRAMOD,3,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:1,83.0,43.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS__SSL-CBRAMOD__0__LONG.json,INPUT_INCOMPATIBLE,,,None,,,SSL-CBRAMOD,LONG,,,,,,,,False,CBRAMOD_A4_LONG_INCOMPATIBLE_FAIL_CLOSED_NO_PAD_NO_CROP
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS__SSL-CBRAMOD__1__1.json,SUCCESS,,,None,,,SSL-CBRAMOD,1,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,80.0,40.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS__SSL-CBRAMOD__1__2.json,SUCCESS,,,None,,,SSL-CBRAMOD,2,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,49.0,9.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS__SSL-CBRAMOD__1__3.json,SUCCESS,,,None,,,SSL-CBRAMOD,3,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,47.0,7.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS__SSL-CBRAMOD__1__LONG.json,INPUT_INCOMPATIBLE,,,None,,,SSL-CBRAMOD,LONG,,,,,,,,False,CBRAMOD_A4_LONG_INCOMPATIBLE_FAIL_CLOSED_NO_PAD_NO_CROP
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS__SSL-CBRAMOD__2__1.json,SUCCESS,,,None,,,SSL-CBRAMOD,1,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:1,85.0,45.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS__SSL-CBRAMOD__2__2.json,SUCCESS,,,None,,,SSL-CBRAMOD,2,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:1,73.0,33.0,True,False,True,True,
