dataset_id,role_id,condition_id,condition_short,n_budgets,budget_sequence,delta_sequence,sign_flip_count,delta_BACC_mean,delta_BACC_median,delta_BACC_min,delta_BACC_max,peak_budget,peak_delta_BACC,trough_budget,trough_delta_BACC,non_monotonic_direction
BNCI2014_001,NEURAL,A4-C1-LONG-3P5S,C1,9,1|4|8|16|32|64|128|256|FULL,0.006944|-0.072917|-0.003472|-0.041667|0.027778|0.027778|-0.031250|0.013889|-0.045139,5,-0.013117283950617306,-0.0034722222222221544,-0.07291666666666663,0.02777777777777779,32,0.02777777777777779,4,-0.07291666666666663,True
BNCI2014_001,NEURAL,A4-C2-MULTI-HARD-VOTE,C2,9,1|4|8|16|32|64|128|256|FULL,-0.003472|-0.086806|0.010417|-0.027778|0.052083|0.041667|-0.031250|0.000000|-0.031250,4,-0.008487654320987668,-0.00347222222222221,-0.08680555555555547,0.05208333333333337,32,0.05208333333333337,4,-0.08680555555555547,True
BNCI2014_001,NEURAL,A4-C3-MULTI-PROB-AVG,C3,9,1|4|8|16|32|64|128|256|FULL,-0.020833|-0.059028|0.020833|-0.034722|0.052083|0.083333|-0.062500|0.013889|-0.045139,6,-0.005787037037037041,-0.020833333333333315,-0.0625,0.08333333333333326,64,0.08333333333333326,128,-0.0625,True
BNCI2014_001,SSL,A4-C2-MULTI-HARD-VOTE,C2,9,1|4|8|16|32|64|128|256|FULL,0.062500|0.038194|0.017361|-0.010417|-0.006944|-0.048611|0.020833|0.045139|0.052083,2,0.01890432098765434,0.02083333333333337,-0.04861111111111105,0.0625,1,0.0625,64,-0.04861111111111105,True
BNCI2014_001,SSL,A4-C3-MULTI-PROB-AVG,C3,9,1|4|8|16|32|64|128|256|FULL,0.024306|0.003472|-0.017361|0.003472|0.003472|-0.024306|0.034722|0.048611|0.090278,4,0.018518518518518514,0.00347222222222221,-0.02430555555555547,0.09027777777777779,FULL,0.09027777777777779,64,-0.02430555555555547,True
Lee2019_MI,NEURAL,A4-C1-LONG-3P5S,C1,9,1|4|8|16|32|64|128|256|FULL,-0.011667|0.010000|-0.031667|0.026667|-0.028333|0.040000|0.051667|0.026667|0.030000,5,0.012592592592592575,0.026666666666666616,-0.03166666666666673,0.05166666666666664,128,0.05166666666666664,8,-0.03166666666666673,True
Lee2019_MI,NEURAL,A4-C2-MULTI-HARD-VOTE,C2,9,1|4|8|16|32|64|128|256|FULL,-0.003333|0.003333|-0.006667|0.011667|-0.048333|0.013333|-0.025000|-0.010000|0.028333,7,-0.0040740740740740945,-0.0033333333333334103,-0.04833333333333334,0.02833333333333332,FULL,0.02833333333333332,32,-0.04833333333333334,True
Lee2019_MI,NEURAL,A4-C3-MULTI-PROB-AVG,C3,9,1|4|8|16|32|64|128|256|FULL,0.008333|0.018333|-0.010000|0.013333|-0.048333|-0.023333|-0.013333|-0.033333|0.026667,4,-0.006851851851851849,-0.010000000000000009,-0.04833333333333334,0.026666666666666727,FULL,0.026666666666666727,32,-0.04833333333333334,True
Lee2019_MI,SSL,A4-C2-MULTI-HARD-VOTE,C2,9,1|4|8|16|32|64|128|256|FULL,0.006667|0.025000|0.018333|0.026667|-0.026667|0.020000|-0.015000|0.003333|-0.010000,5,0.005370370370370383,0.00666666666666671,-0.026666666666666616,0.026666666666666672,16,0.026666666666666672,32,-0.026666666666666616,True
Lee2019_MI,SSL,A4-C3-MULTI-PROB-AVG,C3,9,1|4|8|16|32|64|128|256|FULL,0.033333|0.015000|0.031667|0.043333|0.011667|0.036667|-0.023333|-0.001667|-0.008333,1,0.015370370370370375,0.015000000000000013,-0.023333333333333317,0.04333333333333328,16,0.04333333333333328,128,-0.023333333333333317,True
PhysioNetMI,NEURAL,A4-C1-LONG-3P5S,C1,9,1|4|8|16|32|64|128|256|FULL,0.015361|0.032609|-0.003953|-0.037999|-0.018685|0.020931|0.004042|0.040963|0.035393,2,0.009851479219068125,0.015361121092346386,-0.03799856270212004,0.040962989579590325,256,0.040962989579590325,16,-0.03799856270212004,True
PhysioNetMI,NEURAL,A4-C2-MULTI-HARD-VOTE,C2,9,1|4|8|16|32|64|128|256|FULL,0.021290|-0.002066|0.000449|-0.005300|-0.031171|0.044107|0.018954|0.021829|0.018954,4,0.009671816984069936,0.018954365792310357,-0.03117139777218836,0.04410707869205899,64,0.04410707869205899,32,-0.03117139777218836,True
PhysioNetMI,NEURAL,A4-C3-MULTI-PROB-AVG,C3,9,1|4|8|16|32|64|128|256|FULL,0.015002|0.008354|0.003414|0.004941|-0.006019|0.029285|-0.008803|0.060456|0.027758,4,0.014931927975406224,0.008354293927416545,-0.008803449514912076,0.06045634207689543,256,0.06045634207689543,128,-0.008803449514912076,True
PhysioNetMI,SSL,A4-C2-MULTI-HARD-VOTE,C2,9,1|4|8|16|32|64|128|256|FULL,-0.013654|0.000180|-0.028387|-0.003503|0.025871|0.012307|0.012666|0.014553|0.023356,3,0.004820936639118472,0.012306863097376941,-0.02838663312971612,0.025871361839741314,32,0.025871361839741314,8,-0.02838663312971612,True
PhysioNetMI,SSL,A4-C3-MULTI-PROB-AVG,C3,9,1|4|8|16|32|64|128|256|FULL,-0.003683|0.015271|-0.001437|-0.022548|0.011588|0.015092|-0.002605|0.003863|0.006378,5,0.0024354214077534292,0.003862738052461401,-0.022547610492274495,0.01527128997484728,4,0.01527128997484728,16,-0.022547610492274495,True
