planned_run_cell_id,dataset_id,budget_id,budget_short,role_id,condition_id,condition_short,model_repeat_index,source_partition,terminal_status,metric_source,metric_file_exists,source_rows,resolved_branch
P02-A4S-R1-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR01,BNCI2014_001,FULL_TRAIN,FULL,NEURAL,A4-C1-LONG-3P5S,C1,1,REUSED_PREDECESSOR_ANCHOR_REPEAT,SUCCESS,metrics/P02-A4S-R1-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR01.json,True,raw_outputs/P02-A4S-R1-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR01.jsonl,DNN-EEGNET
P02-A4S-R1-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR02,BNCI2014_001,FULL_TRAIN,FULL,NEURAL,A4-C1-LONG-3P5S,C1,2,REUSED_PREDECESSOR_ANCHOR_REPEAT,SUCCESS,metrics/P02-A4S-R1-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR02.json,True,raw_outputs/P02-A4S-R1-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR02.jsonl,DNN-EEGNET
P02-A4S-R1-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS-MR00,BNCI2014_001,P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS,128,NEURAL,A4-C1-LONG-3P5S,C1,0,NEW_HIGH_BUDGET_64_128_256,SUCCESS,metrics/P02-A4S-R1-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS-MR00.json,True,raw_outputs/P02-A4S-R1-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS-MR00.jsonl,DNN-EEGNET
P02-A4S-R1-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS-MR01,BNCI2014_001,P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS,128,NEURAL,A4-C1-LONG-3P5S,C1,1,NEW_HIGH_BUDGET_64_128_256,SUCCESS,metrics/P02-A4S-R1-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS-MR01.json,True,raw_outputs/P02-A4S-R1-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS-MR01.jsonl,DNN-EEGNET
P02-A4S-R1-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS-MR02,BNCI2014_001,P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS,128,NEURAL,A4-C1-LONG-3P5S,C1,2,NEW_HIGH_BUDGET_64_128_256,SUCCESS,metrics/P02-A4S-R1-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS-MR02.json,True,raw_outputs/P02-A4S-R1-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS-MR02.jsonl,DNN-EEGNET
P02-A4S-R1-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS-MR00,BNCI2014_001,P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS,16,NEURAL,A4-C1-LONG-3P5S,C1,0,REUSED_PREDECESSOR_MR00_PROBE,SUCCESS,metrics/P02-A4S-R1-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS-MR00.json,True,raw_outputs/P02-A4S-R1-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS-MR00.jsonl,DNN-EEGNET
P02-A4S-R1-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR01,BNCI2014_001,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,NEURAL,A4-C1-LONG-3P5S,C1,1,REUSED_PREDECESSOR_ANCHOR_REPEAT,SUCCESS,metrics/P02-A4S-R1-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR01.json,True,raw_outputs/P02-A4S-R1-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR01.jsonl,DNN-EEGNET
P02-A4S-R1-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR02,BNCI2014_001,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,NEURAL,A4-C1-LONG-3P5S,C1,2,REUSED_PREDECESSOR_ANCHOR_REPEAT,SUCCESS,metrics/P02-A4S-R1-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR02.json,True,raw_outputs/P02-A4S-R1-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR02.jsonl,DNN-EEGNET
P02-A4S-R1-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:256_PER_CLASS-MR00,BNCI2014_001,P01-L1-LOW-CAL-OFFICIAL-R2:256_PER_CLASS,256,NEURAL,A4-C1-LONG-3P5S,C1,0,NEW_HIGH_BUDGET_64_128_256,SUCCESS,metrics/P02-A4S-R1-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:256_PER_CLASS-MR00.json,True,raw_outputs/P02-A4S-R1-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:256_PER_CLASS-MR00.jsonl,DNN-EEGNET
P02-A4S-R1-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:256_PER_CLASS-MR01,BNCI2014_001,P01-L1-LOW-CAL-OFFICIAL-R2:256_PER_CLASS,256,NEURAL,A4-C1-LONG-3P5S,C1,1,NEW_HIGH_BUDGET_64_128_256,SUCCESS,metrics/P02-A4S-R1-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:256_PER_CLASS-MR01.json,True,raw_outputs/P02-A4S-R1-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:256_PER_CLASS-MR01.jsonl,DNN-EEGNET
