dataset_id,role_id,alternative_condition,tested_cells,evaluable_effect_cells,median_cell_effect,mean_cell_effect,positive_cells,negative_cells,zero_cells,min_raw_p,min_holm_p
BNCI2014_001,CLASSICAL,A4-C1-LONG-3P5S,10,9,0.0,0.004243827160493806,4,4,1,,
BNCI2014_001,CLASSICAL,A4-C2-MULTI-HARD-VOTE,10,9,0.003472222222222099,-0.006172839506172873,5,4,0,,
BNCI2014_001,CLASSICAL,A4-C3-MULTI-PROB-AVG,10,9,0.0,-0.006558641975308643,4,4,1,,
BNCI2014_001,NEURAL,A4-C1-LONG-3P5S,50,3,-0.0034722222222221544,-0.013888888888888895,1,2,0,,
BNCI2014_001,NEURAL,A4-C2-MULTI-HARD-VOTE,50,3,-0.00347222222222221,-0.00810185185185188,1,2,0,,
BNCI2014_001,NEURAL,A4-C3-MULTI-PROB-AVG,50,3,-0.020833333333333315,-0.015046296296296316,1,2,0,,
BNCI2014_001,RIEMANNIAN,A4-C1-LONG-3P5S,10,10,0.013888888888888867,0.009374999999999972,7,3,0,,
BNCI2014_001,RIEMANNIAN,A4-C2-MULTI-HARD-VOTE,10,10,0.00868055555555558,0.011111111111111089,8,1,1,,
BNCI2014_001,RIEMANNIAN,A4-C3-MULTI-PROB-AVG,10,10,0.008680555555555525,0.010416666666666657,7,3,0,,
BNCI2014_001,SSL,A4-C1-LONG-3P5S,50,0,,,0,0,0,,
BNCI2014_001,SSL,A4-C2-MULTI-HARD-VOTE,50,3,0.05208333333333326,0.043981481481481434,3,0,0,,
BNCI2014_001,SSL,A4-C3-MULTI-PROB-AVG,50,3,0.02430555555555547,0.032407407407407406,2,1,0,,
Lee2019_MI,CLASSICAL,A4-C1-LONG-3P5S,10,9,0.0,-0.0038888888888888953,2,3,4,0.0625,0.1875
Lee2019_MI,CLASSICAL,A4-C2-MULTI-HARD-VOTE,10,9,0.0,-0.009999999999999993,2,4,3,0.0625,0.1875
Lee2019_MI,CLASSICAL,A4-C3-MULTI-PROB-AVG,10,9,-0.00500000000000006,-0.00833333333333335,2,5,2,0.03125,0.1875
Lee2019_MI,NEURAL,A4-C1-LONG-3P5S,50,3,-0.0050000000000000044,-0.008333333333333323,1,2,0,0.125,0.375
Lee2019_MI,NEURAL,A4-C2-MULTI-HARD-VOTE,50,3,-0.0050000000000000044,-0.0016666666666666867,1,2,0,0.4375,0.875
Lee2019_MI,NEURAL,A4-C3-MULTI-PROB-AVG,50,3,0.0,0.004999999999999986,1,1,1,0.3125,0.875
Lee2019_MI,RIEMANNIAN,A4-C1-LONG-3P5S,10,10,-0.0024999999999999745,-0.0030000000000000027,1,5,4,0.25,0.75
Lee2019_MI,RIEMANNIAN,A4-C2-MULTI-HARD-VOTE,10,10,0.0,-0.0040000000000000036,2,3,5,0.25,1.0
Lee2019_MI,RIEMANNIAN,A4-C3-MULTI-PROB-AVG,10,10,0.0,0.0024999999999999966,3,3,4,0.1875,1.0
Lee2019_MI,SSL,A4-C1-LONG-3P5S,50,0,,,0,0,0,,
Lee2019_MI,SSL,A4-C2-MULTI-HARD-VOTE,50,3,-0.0050000000000000044,0.001666666666666659,1,2,0,0.28125,0.5625
Lee2019_MI,SSL,A4-C3-MULTI-PROB-AVG,50,3,0.025000000000000022,0.019999999999999973,2,1,0,0.1875,0.5625
PhysioNetMI,CLASSICAL,A4-C1-LONG-3P5S,10,9,0.0,-0.0007711692494301406,1,3,5,0.078125,0.234375
PhysioNetMI,CLASSICAL,A4-C2-MULTI-HARD-VOTE,10,9,0.0,-0.0027448397013614245,1,2,6,0.240234375,1.0
PhysioNetMI,CLASSICAL,A4-C3-MULTI-PROB-AVG,10,9,0.0,-0.0030702992659514448,2,1,6,0.09765625,1.0
PhysioNetMI,NEURAL,A4-C1-LONG-3P5S,50,3,0.0,0.02281746031746031,1,0,2,0.46484375,1.0
PhysioNetMI,NEURAL,A4-C2-MULTI-HARD-VOTE,50,3,0.0,0.000658761528326742,1,0,2,0.65234375,1.0
PhysioNetMI,NEURAL,A4-C3-MULTI-PROB-AVG,50,3,0.0,0.00098814229249015,1,0,2,0.68359375,1.0
PhysioNetMI,RIEMANNIAN,A4-C1-LONG-3P5S,10,10,0.000494071146245112,0.006628787878787884,5,0,5,0.193359375,0.580078125
PhysioNetMI,RIEMANNIAN,A4-C2-MULTI-HARD-VOTE,10,10,0.0,0.006521739130434789,2,2,6,0.1953125,0.71875
PhysioNetMI,RIEMANNIAN,A4-C3-MULTI-PROB-AVG,10,10,0.0,0.007738095238095227,2,0,8,0.25,0.71875
PhysioNetMI,SSL,A4-C1-LONG-3P5S,50,0,,,0,0,0,,
PhysioNetMI,SSL,A4-C2-MULTI-HARD-VOTE,50,3,-0.0029644268774703386,-0.008203149507497379,1,2,0,0.1640625,0.328125
PhysioNetMI,SSL,A4-C3-MULTI-PROB-AVG,50,3,0.0,-0.005956302151954307,1,1,1,0.6376953125,0.6376953125
