dataset_id,budget_per_class,leader_model_id,leader_BACC,leader_delta_vs_full_BACC,leader_changed_from_previous_budget
BNCI2014_001,1,RIE-TS-LR,0.5416666666666667,-0.07291666666666663,True
BNCI2014_001,2,RIE-TS-LR,0.5625,-0.05208333333333337,False
BNCI2014_001,4,CLS-CSP-LDA,0.6041666666666667,-0.0347222222222221,True
BNCI2014_001,8,DNN-EEGNET,0.5416666666666667,-0.06736111111111098,True
BNCI2014_001,16,DNN-EEGNET,0.56875,-0.040277777777777746,False
BNCI2014_001,32,RIE-TS-LR,0.5208333333333334,-0.09375,True
BNCI2014_001,64,DNN-EEGNET,0.53125,-0.07777777777777772,True
BNCI2014_001,128,DNN-EEGNET,0.59375,-0.015277777777777724,False
BNCI2014_001,256,CLS-CSP-LDA,0.6284722222222222,-0.01041666666666663,True
Lee2019_MI,1,DNN-EEGNET,0.5273333333333333,-0.21433333333333326,True
Lee2019_MI,2,CLS-CSP-LDA,0.5,-0.21500000000000008,True
Lee2019_MI,4,DNN-EEGNET,0.5243333333333333,-0.21733333333333327,True
Lee2019_MI,8,RIE-TS-LR,0.5349999999999999,-0.21166666666666678,True
Lee2019_MI,16,RIE-TS-LR,0.5700000000000001,-0.17666666666666664,False
Lee2019_MI,32,RIE-TS-LR,0.5283333333333333,-0.21833333333333338,False
Lee2019_MI,64,RIE-TS-LR,0.665,-0.08166666666666667,False
Lee2019_MI,128,RIE-TS-LR,0.7,-0.046666666666666745,False
Lee2019_MI,256,RIE-TS-LR,0.72,-0.026666666666666727,False
PhysioNetMI,1,RIE-TS-LR,0.5130255120373697,-0.09980237154150207,True
PhysioNetMI,2,CLS-CSP-LDA,0.5458138699245418,-0.04150197628458496,True
PhysioNetMI,4,RIE-TS-LR,0.511498383039885,-0.1013295005389867,True
PhysioNetMI,8,CLS-CSP-LDA,0.5159899389148401,-0.07132590729428667,True
PhysioNetMI,16,RIE-TS-LR,0.5482393100970175,-0.0645885734818542,True
PhysioNetMI,32,DNN-EEGNET,0.5262486525332375,-0.10186848724398134,True
PhysioNetMI,64,RIE-TS-LR,0.5366510959396336,-0.07617678763923819,True
PhysioNetMI,128,RIE-TS-LR,0.5517427236794825,-0.06108515989938923,False
PhysioNetMI,256,DNN-EEGNET,0.5696191160618038,-0.058498023715415015,True
