layer_id,status,evidence,scientific_execution
L0,PHASE_0_FOUNDATION_COMPLETE,consolidated layer matrices and audit regressions,NOT_CLAIMED
L1,PHASE_0_FOUNDATION_COMPLETE,consolidated layer matrices and audit regressions,NOT_CLAIMED
L2,PHASE_0_FOUNDATION_COMPLETE,consolidated layer matrices and audit regressions,NOT_CLAIMED
L3,PHASE_0_FOUNDATION_COMPLETE,consolidated layer matrices and audit regressions,NOT_CLAIMED
L4,PHASE_0_FOUNDATION_COMPLETE,consolidated layer matrices and audit regressions,NOT_CLAIMED
L5,PHASE_0_FOUNDATION_COMPLETE,consolidated layer matrices and audit regressions,NOT_CLAIMED
L6,PHASE_0_FOUNDATION_COMPLETE,consolidated layer matrices and audit regressions,NOT_CLAIMED
L7,PHASE_0_FOUNDATION_COMPLETE,consolidated layer matrices and audit regressions,NOT_CLAIMED
L8,PHASE_0_FOUNDATION_COMPLETE,consolidated layer matrices and audit regressions,NOT_CLAIMED
L9,PHASE_0_FOUNDATION_COMPLETE,consolidated layer matrices and audit regressions,NOT_CLAIMED
L10,PHASE_0_FOUNDATION_COMPLETE,consolidated layer matrices and audit regressions,NOT_CLAIMED
