phase_id,status,future_output,evidence
P00,FOUNDATION_IMPLEMENTED,ANALYZED_ENGINEERING_FOUNDATION,all-phase contract matrix
P01,CONTRACT_READY,NOT_YET_EXPECTED,all-phase contract matrix
P02,CONTRACT_READY,NOT_YET_EXPECTED,all-phase contract matrix
P03,CONTRACT_READY,NOT_YET_EXPECTED,all-phase contract matrix
P04,CONTRACT_READY,NOT_YET_EXPECTED,all-phase contract matrix
P05,CONTRACT_READY,NOT_YET_EXPECTED,all-phase contract matrix
P06,CONTRACT_READY,NOT_YET_EXPECTED,all-phase contract matrix
P07,CONTRACT_READY,NOT_YET_EXPECTED,all-phase contract matrix
P08,CONTRACT_READY,NOT_YET_EXPECTED,all-phase contract matrix
P09,CONTRACT_READY,NOT_YET_EXPECTED,all-phase contract matrix
P10,CONTRACT_READY,NOT_YET_EXPECTED,all-phase contract matrix
P11,CONTRACT_READY,NOT_YET_EXPECTED,all-phase contract matrix
P12,CONTRACT_READY,NOT_YET_EXPECTED,all-phase contract matrix
P13,CONTRACT_READY,NOT_YET_EXPECTED,all-phase contract matrix
P14,CONTRACT_READY,NOT_YET_EXPECTED,all-phase contract matrix
P15,CONTRACT_READY,NOT_YET_EXPECTED,all-phase contract matrix
