analysis_family,dataset_id,comparison_id,n,effect_or_delta,raw_p,adjusted_p,interpretive_role
STAGE11_DIAGNOSTIC,BNCI2014_001,DIAGNOSTIC_CHALLENGER_VS_PRIMARY,5.0,-0.03472222222222221,0.125,,DIAGNOSTIC_ONLY
STAGE11_DIAGNOSTIC,Lee2019_MI,DIAGNOSTIC_CHALLENGER_VS_PRIMARY,30.0,0.010000000000000009,0.23092203251433552,,DIAGNOSTIC_ONLY
STAGE11_DIAGNOSTIC,PhysioNetMI,DIAGNOSTIC_CHALLENGER_VS_PRIMARY,55.0,0.0,0.45518541901492204,,DIAGNOSTIC_ONLY
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-CLASSICAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR00:VS:A4-C0-CORE,11.0,0.00098814229249,0.9482421875,1.0,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-CLASSICAL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00:VS:A4-C0-CORE,11.0,-0.0009881422924901,0.6376953125,1.0,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-CLASSICAL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00:VS:A4-C0-CORE,11.0,0.0,0.42578125,1.0,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-RIEMANNIAN-A4-C1-LONG-3P5S-FULL_TRAIN-MR00:VS:A4-C0-CORE,11.0,0.0217391304347825,0.2783203125,0.8349609375,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-RIEMANNIAN-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00:VS:A4-C0-CORE,11.0,-0.0019762845849802,0.8984375,1.0,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-RIEMANNIAN-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00:VS:A4-C0-CORE,11.0,0.0297619047619046,0.6953125,1.0,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-NEURAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR00:VS:A4-C0-CORE,11.0,0.0684523809523809,0.46484375,1.0,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-NEURAL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00:VS:A4-C0-CORE,11.0,0.0019762845849802,0.6953125,1.0,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-NEURAL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00:VS:A4-C0-CORE,11.0,0.0029644268774704,0.68359375,1.0,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-NEURAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR01:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-NEURAL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR01:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-NEURAL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR01:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-NEURAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR02:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-NEURAL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR02:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-NEURAL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR02:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-NEURAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR03:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-NEURAL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR03:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-NEURAL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR03:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-NEURAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR04:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-NEURAL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR04:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-NEURAL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR04:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-SSL-A4-C1-LONG-3P5S-FULL_TRAIN-MR00:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-SSL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00:VS:A4-C0-CORE,11.0,0.0238095238095237,0.1748046875,0.349609375,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-SSL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00:VS:A4-C0-CORE,11.0,0.0029644268774703,0.7490234375,0.7490234375,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-SSL-A4-C1-LONG-3P5S-FULL_TRAIN-MR01:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-SSL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR01:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-SSL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR01:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-SSL-A4-C1-LONG-3P5S-FULL_TRAIN-MR02:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-SSL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR02:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-SSL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR02:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-SSL-A4-C1-LONG-3P5S-FULL_TRAIN-MR03:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-SSL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR03:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-SSL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR03:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-SSL-A4-C1-LONG-3P5S-FULL_TRAIN-MR04:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-SSL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR04:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-SSL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR04:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
