dataset_id,branch_id,participants,mean_BACC,BACC_rank
BNCI2014_001,CLS-CSP-LDA,1,0.6388888888888888,1
BNCI2014_001,CLS-FBCSP-LR,1,0.6284722222222222,2
BNCI2014_001,RIE-TS-LR,1,0.6145833333333334,3
BNCI2014_001,RIE-EA-TS,1,0.6111111111111112,4
BNCI2014_001,DNN-EEGNET,1,0.6090277777777777,5
BNCI2014_001,SSL-CBRAMOD,1,0.5506944444444445,6
BNCI2014_001,DNN-SEQ,1,0.5277777777777778,7
BNCI2014_001,RIE-MDM,1,0.513888888888889,8
BNCI2014_001,DNN-FBCNET,1,0.4805555555555555,9
Lee2019_MI,DNN-SEQ,6,0.795,1
Lee2019_MI,RIE-EA-TS,6,0.7516666666666666,2
Lee2019_MI,RIE-TS-LR,6,0.7466666666666667,3
Lee2019_MI,DNN-EEGNET,6,0.7416666666666667,4
Lee2019_MI,DNN-FBCNET,6,0.719,5
Lee2019_MI,CLS-CSP-LDA,6,0.715,6
Lee2019_MI,SSL-CBRAMOD,6,0.6680000000000001,7
Lee2019_MI,CLS-FBCSP-LR,6,0.6533333333333333,8
Lee2019_MI,RIE-MDM,6,0.6133333333333334,9
PhysioNetMI,DNN-SEQ,11,0.649724517906336,1
PhysioNetMI,DNN-EEGNET,11,0.627510993617713,2
PhysioNetMI,DNN-FBCNET,11,0.6181679157469671,3
PhysioNetMI,RIE-EA-TS,11,0.6179921034170046,4
PhysioNetMI,RIE-TS-LR,11,0.6132278459353557,5
PhysioNetMI,CLS-CSP-LDA,11,0.5960187704258851,6
PhysioNetMI,CLS-FBCSP-LR,11,0.5643960782300704,7
PhysioNetMI,SSL-CBRAMOD,11,0.5450254949266807,8
PhysioNetMI,RIE-MDM,11,0.5099445185907636,9
