dataset_id,metric,leader_branch_id,leader_value,participant_count
BNCI2014_001,BACC,CLS-CSP-LDA,0.6388888888888888,1
BNCI2014_001,F1,CLS-CSP-LDA,0.638871473354232,1
BNCI2014_001,ACC,CLS-CSP-LDA,0.6388888888888888,1
BNCI2014_001,ROC_AUC,RIE-EA-TS,0.6989293981481481,1
Lee2019_MI,BACC,DNN-SEQ,0.7949999999999999,6
Lee2019_MI,F1,DNN-SEQ,0.7848329856947145,6
Lee2019_MI,ACC,DNN-SEQ,0.7949999999999999,6
Lee2019_MI,ROC_AUC,DNN-SEQ,0.8833066666666668,6
PhysioNetMI,BACC,DNN-SEQ,0.6497245179063361,11
PhysioNetMI,F1,DNN-SEQ,0.6415098645006693,11
PhysioNetMI,ACC,DNN-SEQ,0.6541414141414141,11
PhysioNetMI,ROC_AUC,DNN-FBCNET,0.7006225439031764,11
