dataset_id,subject_id,branches_available,mean_BACC_across_main_branches,median_BACC_across_main_branches,min_BACC_across_main_branches,max_BACC_across_main_branches
BNCI2014_001,7,9,0.575,0.6090277777777777,0.4805555555555555,0.6388888888888888
Lee2019_MI,6,9,0.5746666666666667,0.54,0.49,0.746
Lee2019_MI,15,9,0.5966666666666666,0.55,0.49,0.76
Lee2019_MI,30,9,0.5980000000000001,0.59,0.514,0.708
Lee2019_MI,19,9,0.7742222222222223,0.788,0.65,0.87
Lee2019_MI,3,9,0.8293333333333333,0.87,0.61,0.95
Lee2019_MI,36,9,0.8962222222222221,0.9800000000000001,0.63,1.0
PhysioNetMI,6,9,0.5058201058201057,0.5089285714285714,0.431547619047619,0.5595238095238095
PhysioNetMI,98,9,0.5218708827404479,0.5339920948616601,0.4446640316205533,0.5675889328063242
PhysioNetMI,39,9,0.5243522178304788,0.516600790513834,0.4209486166007905,0.6294466403162055
PhysioNetMI,47,9,0.5333333333333332,0.5178571428571428,0.4583333333333333,0.6398809523809523
PhysioNetMI,40,9,0.5351851851851852,0.5380952380952382,0.4761904761904761,0.6011904761904763
PhysioNetMI,27,9,0.5406675450153711,0.5424901185770751,0.4762845849802371,0.6237154150197629
PhysioNetMI,107,9,0.5480820105820106,0.5535714285714286,0.4166666666666666,0.6666666666666666
PhysioNetMI,57,9,0.5841269841269842,0.5803571428571428,0.4726190476190476,0.6845238095238095
PhysioNetMI,48,9,0.7034694773825209,0.7579051383399209,0.5,0.8071146245059289
PhysioNetMI,71,9,0.7405797101449275,0.691304347826087,0.6086956521739131,0.9294466403162055
PhysioNetMI,93,9,0.7916337285902503,0.8312252964426877,0.5454545454545454,0.8883399209486166
