run_cell_id,dataset_id,condition_id,role_id,budget_id,model_repeat_index,terminal_status,evidence_duration_s,observation_horizon_s,model_or_view_evaluations,member_count,aggregation_operation,batch1_latency_median_s,batch1_latency_p95_s,aggregation_latency_s,missing_reason
P02-A4-PhysioNetMI-CLASSICAL-A4-C0-CORE-FULL_TRAIN-MR00,PhysioNetMI,A4-C0-CORE,CLASSICAL,FULL_TRAIN,0,SUCCESS,3.0,3.0,1,1,DIRECT_CORE,0.03041807200133917,0.03092167159993551,0.0,
P02-A4-PhysioNetMI-CLASSICAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR00,PhysioNetMI,A4-C1-LONG-3P5S,CLASSICAL,FULL_TRAIN,0,SUCCESS,3.5,3.5,1,1,DIRECT_LONG,0.04455428499932168,0.04851262340162066,0.0,
P02-A4-PhysioNetMI-CLASSICAL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00,PhysioNetMI,A4-C2-MULTI-HARD-VOTE,CLASSICAL,FULL_TRAIN,0,SUCCESS,2.0,3.5,3,3,HARD_VOTE,0.11524419699708233,0.11942429719856591,0.0015221350004139822,
P02-A4-PhysioNetMI-CLASSICAL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00,PhysioNetMI,A4-C3-MULTI-PROB-AVG,CLASSICAL,FULL_TRAIN,0,SUCCESS,2.0,3.5,3,3,PROBABILITY_AVERAGE,0.11524419699708233,0.11942429719856591,0.001401771998644108,
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C0-CORE-FULL_TRAIN-MR00,PhysioNetMI,A4-C0-CORE,RIEMANNIAN,FULL_TRAIN,0,SUCCESS,3.0,3.0,1,1,DIRECT_CORE,0.011249382001551567,0.012206393799715443,0.0,
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C1-LONG-3P5S-FULL_TRAIN-MR00,PhysioNetMI,A4-C1-LONG-3P5S,RIEMANNIAN,FULL_TRAIN,0,SUCCESS,3.5,3.5,1,1,DIRECT_LONG,0.015560152001853567,0.018525304998183854,0.0,
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00,PhysioNetMI,A4-C2-MULTI-HARD-VOTE,RIEMANNIAN,FULL_TRAIN,0,SUCCESS,2.0,3.5,3,3,HARD_VOTE,0.06068191299709724,0.07076228280202485,0.0032195419989875518,
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00,PhysioNetMI,A4-C3-MULTI-PROB-AVG,RIEMANNIAN,FULL_TRAIN,0,SUCCESS,2.0,3.5,3,3,PROBABILITY_AVERAGE,0.06068191299709724,0.07076228280202485,0.0013163650000933558,
P02-A4-PhysioNetMI-NEURAL-A4-C0-CORE-FULL_TRAIN-MR00,PhysioNetMI,A4-C0-CORE,NEURAL,FULL_TRAIN,0,SUCCESS,3.0,3.0,1,1,DIRECT_CORE,0.0013199690001783893,0.0019344317996001336,0.0,
P02-A4-PhysioNetMI-NEURAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR00,PhysioNetMI,A4-C1-LONG-3P5S,NEURAL,FULL_TRAIN,0,SUCCESS,3.5,3.5,1,1,DIRECT_LONG,0.003671481001219945,0.003671481001219945,0.0,
