dataset_id,role_id,alternative_condition,tested_cells,evaluable_effect_cells,median_cell_effect,mean_cell_effect,positive_cells,negative_cells,zero_cells,min_raw_p,min_holm_p
BNCI2014_001,CLASSICAL,A4-C1-LONG-3P5S,7,6,0.008680555555555525,0.006944444444444429,4,2,0,,
BNCI2014_001,CLASSICAL,A4-C2-MULTI-HARD-VOTE,7,6,0.00694444444444442,-0.002893518518518536,3,3,0,,
BNCI2014_001,CLASSICAL,A4-C3-MULTI-PROB-AVG,7,6,-0.005208333333333315,-0.006944444444444457,2,3,1,,
BNCI2014_001,NEURAL,A4-C1-LONG-3P5S,35,3,-0.0034722222222221544,-0.013888888888888895,1,2,0,,
BNCI2014_001,NEURAL,A4-C2-MULTI-HARD-VOTE,35,3,-0.00347222222222221,-0.00810185185185188,1,2,0,,
BNCI2014_001,NEURAL,A4-C3-MULTI-PROB-AVG,35,3,-0.020833333333333315,-0.015046296296296316,1,2,0,,
BNCI2014_001,RIEMANNIAN,A4-C1-LONG-3P5S,7,7,0.003472222222222321,0.003472222222222186,4,3,0,,
BNCI2014_001,RIEMANNIAN,A4-C2-MULTI-HARD-VOTE,7,7,0.01388888888888884,0.01587301587301584,7,0,0,,
BNCI2014_001,RIEMANNIAN,A4-C3-MULTI-PROB-AVG,7,7,0.020833333333333315,0.015873015873015872,6,1,0,,
BNCI2014_001,SSL,A4-C1-LONG-3P5S,35,0,,,0,0,0,,
BNCI2014_001,SSL,A4-C2-MULTI-HARD-VOTE,35,3,0.05208333333333326,0.043981481481481434,3,0,0,,
BNCI2014_001,SSL,A4-C3-MULTI-PROB-AVG,35,3,0.02430555555555547,0.032407407407407406,2,1,0,,
Lee2019_MI,CLASSICAL,A4-C1-LONG-3P5S,7,6,0.0,-0.0008333333333333387,1,1,4,0.125,0.375
Lee2019_MI,CLASSICAL,A4-C2-MULTI-HARD-VOTE,7,6,0.0,-0.0008333333333333387,2,2,2,0.0625,0.375
Lee2019_MI,CLASSICAL,A4-C3-MULTI-PROB-AVG,7,6,0.0,0.0016666666666666542,2,2,2,0.0625,0.375
Lee2019_MI,NEURAL,A4-C1-LONG-3P5S,35,3,-0.0050000000000000044,-0.008333333333333323,1,2,0,0.125,0.375
Lee2019_MI,NEURAL,A4-C2-MULTI-HARD-VOTE,35,3,-0.0050000000000000044,-0.0016666666666666867,1,2,0,0.4375,0.875
Lee2019_MI,NEURAL,A4-C3-MULTI-PROB-AVG,35,3,0.0,0.004999999999999986,1,1,1,0.3125,0.875
Lee2019_MI,RIEMANNIAN,A4-C1-LONG-3P5S,7,7,0.0,0.0007142857142857229,1,2,4,0.5,1.0
Lee2019_MI,RIEMANNIAN,A4-C2-MULTI-HARD-VOTE,7,7,0.0,0.0,1,1,5,0.25,1.0
Lee2019_MI,RIEMANNIAN,A4-C3-MULTI-PROB-AVG,7,7,0.0,0.0021428571428571447,1,2,4,0.1875,1.0
Lee2019_MI,SSL,A4-C1-LONG-3P5S,35,0,,,0,0,0,,
Lee2019_MI,SSL,A4-C2-MULTI-HARD-VOTE,35,3,-0.0050000000000000044,0.001666666666666659,1,2,0,0.28125,0.5625
Lee2019_MI,SSL,A4-C3-MULTI-PROB-AVG,35,3,0.025000000000000022,0.019999999999999973,2,1,0,0.1875,0.5625
PhysioNetMI,CLASSICAL,A4-C1-LONG-3P5S,7,6,0.0,-0.0008273731099818216,1,1,4,0.078125,0.234375
PhysioNetMI,CLASSICAL,A4-C2-MULTI-HARD-VOTE,7,6,0.0,0.0,1,1,4,0.4609375,1.0
PhysioNetMI,CLASSICAL,A4-C3-MULTI-PROB-AVG,7,6,0.0,0.0001646903820816855,1,0,5,0.42578125,1.0
PhysioNetMI,NEURAL,A4-C1-LONG-3P5S,35,3,0.0,0.02281746031746031,1,0,2,0.46484375,1.0
PhysioNetMI,NEURAL,A4-C2-MULTI-HARD-VOTE,35,3,0.0,0.000658761528326742,1,0,2,0.65234375,1.0
PhysioNetMI,NEURAL,A4-C3-MULTI-PROB-AVG,35,3,0.0,0.00098814229249015,1,0,2,0.68359375,1.0
PhysioNetMI,RIEMANNIAN,A4-C1-LONG-3P5S,7,7,0.0,0.006081780538302273,2,0,5,0.193359375,0.580078125
PhysioNetMI,RIEMANNIAN,A4-C2-MULTI-HARD-VOTE,7,7,0.0,0.006211180124223599,1,2,4,0.1953125,0.71875
PhysioNetMI,RIEMANNIAN,A4-C3-MULTI-PROB-AVG,7,7,0.0,0.011054421768707468,2,0,5,0.25,0.71875
PhysioNetMI,SSL,A4-C1-LONG-3P5S,35,0,,,0,0,0,,
PhysioNetMI,SSL,A4-C2-MULTI-HARD-VOTE,35,3,-0.0029644268774703386,-0.008203149507497379,1,2,0,0.1640625,0.328125
PhysioNetMI,SSL,A4-C3-MULTI-PROB-AVG,35,3,0.0,-0.005956302151954307,1,1,1,0.6376953125,0.6376953125
