dataset_id,model_id,metric_id,budget_per_class,budget_id,point_status,value,attempted_repeats,successful_repeats,non_success_repeats,budget_repeat_id,single_frozen_subset_limitation
BNCI2014_001,CLS-CSP-LDA,BACC,1,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,EXPLICIT_NON_SUCCESS,,1,0,1,P01_FROZEN_SINGLE_SUBSET,True
BNCI2014_001,CLS-CSP-LDA,BACC,2,P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS,VALID,0.5277777777777778,1,1,0,P01_FROZEN_SINGLE_SUBSET,True
BNCI2014_001,CLS-CSP-LDA,BACC,4,P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS,VALID,0.6041666666666667,1,1,0,P01_FROZEN_SINGLE_SUBSET,True
BNCI2014_001,CLS-CSP-LDA,BACC,8,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,VALID,0.4861111111111111,1,1,0,P01_FROZEN_SINGLE_SUBSET,True
BNCI2014_001,CLS-CSP-LDA,BACC,16,P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS,VALID,0.5277777777777778,1,1,0,P01_FROZEN_SINGLE_SUBSET,True
BNCI2014_001,CLS-CSP-LDA,BACC,32,P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS,VALID,0.4965277777777778,1,1,0,P01_FROZEN_SINGLE_SUBSET,True
BNCI2014_001,RIE-TS-LR,BACC,1,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,VALID,0.5416666666666667,1,1,0,P01_FROZEN_SINGLE_SUBSET,True
BNCI2014_001,RIE-TS-LR,BACC,2,P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS,VALID,0.5625,1,1,0,P01_FROZEN_SINGLE_SUBSET,True
BNCI2014_001,RIE-TS-LR,BACC,4,P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS,VALID,0.5902777777777778,1,1,0,P01_FROZEN_SINGLE_SUBSET,True
BNCI2014_001,RIE-TS-LR,BACC,8,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,VALID,0.4861111111111111,1,1,0,P01_FROZEN_SINGLE_SUBSET,True
BNCI2014_001,RIE-TS-LR,BACC,16,P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS,VALID,0.5208333333333333,1,1,0,P01_FROZEN_SINGLE_SUBSET,True
BNCI2014_001,RIE-TS-LR,BACC,32,P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS,VALID,0.5208333333333334,1,1,0,P01_FROZEN_SINGLE_SUBSET,True
BNCI2014_001,DNN-EEGNET,BACC,1,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,VALID,0.5243055555555556,5,5,0,P01_FROZEN_SINGLE_SUBSET,True
BNCI2014_001,DNN-EEGNET,BACC,2,P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS,VALID,0.525,5,5,0,P01_FROZEN_SINGLE_SUBSET,True
BNCI2014_001,DNN-EEGNET,BACC,4,P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS,VALID,0.5354166666666667,5,5,0,P01_FROZEN_SINGLE_SUBSET,True
