dataset_id,role_id,condition_id,condition_short,n_budgets,budget_sequence,delta_sequence,sign_flip_count,delta_BACC_mean,delta_BACC_median,delta_BACC_min,delta_BACC_max,peak_budget,peak_delta_BACC,trough_budget,trough_delta_BACC,non_monotonic_direction
BNCI2014_001,NEURAL,A4-C1-LONG-3P5S,C1,6,1|4|8|16|32|FULL,0.006944|-0.072917|-0.003472|-0.041667|0.027778|-0.045139,3,-0.021412037037037045,-0.022569444444444448,-0.07291666666666663,0.02777777777777779,32,0.02777777777777779,4,-0.07291666666666663,True
BNCI2014_001,NEURAL,A4-C2-MULTI-HARD-VOTE,C2,6,1|4|8|16|32|FULL,-0.003472|-0.086806|0.010417|-0.027778|0.052083|-0.031250,4,-0.014467592592592607,-0.015625000000000056,-0.08680555555555547,0.05208333333333337,32,0.05208333333333337,4,-0.08680555555555547,True
BNCI2014_001,NEURAL,A4-C3-MULTI-PROB-AVG,C3,6,1|4|8|16|32|FULL,-0.020833|-0.059028|0.020833|-0.034722|0.052083|-0.045139,4,-0.014467592592592596,-0.027777777777777818,-0.05902777777777768,0.05208333333333337,32,0.05208333333333337,4,-0.05902777777777768,True
BNCI2014_001,SSL,A4-C2-MULTI-HARD-VOTE,C2,6,1|4|8|16|32|FULL,0.062500|0.038194|0.017361|-0.010417|-0.006944|0.052083,2,0.025462962962962965,0.02777777777777779,-0.01041666666666663,0.0625,1,0.0625,16,-0.01041666666666663,True
BNCI2014_001,SSL,A4-C3-MULTI-PROB-AVG,C3,6,1|4|8|16|32|FULL,0.024306|0.003472|-0.017361|0.003472|0.003472|0.090278,2,0.017939814814814808,0.00347222222222221,-0.01736111111111105,0.09027777777777779,FULL,0.09027777777777779,8,-0.01736111111111105,True
Lee2019_MI,NEURAL,A4-C1-LONG-3P5S,C1,6,1|4|8|16|32|FULL,-0.011667|0.010000|-0.031667|0.026667|-0.028333|0.030000,5,-0.0008333333333333711,-0.0008333333333334081,-0.03166666666666673,0.030000000000000027,FULL,0.030000000000000027,8,-0.03166666666666673,True
Lee2019_MI,NEURAL,A4-C2-MULTI-HARD-VOTE,C2,6,1|4|8|16|32|FULL,-0.003333|0.003333|-0.006667|0.011667|-0.048333|0.028333,5,-0.002500000000000039,-5.551115123125783e-17,-0.04833333333333334,0.02833333333333332,FULL,0.02833333333333332,32,-0.04833333333333334,True
Lee2019_MI,NEURAL,A4-C3-MULTI-PROB-AVG,C3,6,1|4|8|16|32|FULL,0.008333|0.018333|-0.010000|0.013333|-0.048333|0.026667,4,0.001388888888888884,0.010833333333333306,-0.04833333333333334,0.026666666666666727,FULL,0.026666666666666727,32,-0.04833333333333334,True
Lee2019_MI,SSL,A4-C2-MULTI-HARD-VOTE,C2,6,1|4|8|16|32|FULL,0.006667|0.025000|0.018333|0.026667|-0.026667|-0.010000,1,0.006666666666666682,0.012500000000000011,-0.026666666666666616,0.026666666666666672,16,0.026666666666666672,32,-0.026666666666666616,True
Lee2019_MI,SSL,A4-C3-MULTI-PROB-AVG,C3,6,1|4|8|16|32|FULL,0.033333|0.015000|0.031667|0.043333|0.011667|-0.008333,1,0.021111111111111126,0.023333333333333317,-0.008333333333333304,0.04333333333333328,16,0.04333333333333328,FULL,-0.008333333333333304,True
PhysioNetMI,NEURAL,A4-C1-LONG-3P5S,C1,6,1|4|8|16|32|FULL,0.015361|0.032609|-0.003953|-0.037999|-0.018685|0.035393,2,0.003787878787878766,0.005704275961192967,-0.03799856270212004,0.03539346029464596,FULL,0.03539346029464596,16,-0.03799856270212004,True
PhysioNetMI,NEURAL,A4-C2-MULTI-HARD-VOTE,C2,6,1|4|8|16|32|FULL,0.021290|-0.002066|0.000449|-0.005300|-0.031171|0.018954,4,0.00035932446999638784,-0.0008084800574919004,-0.03117139777218836,0.02128997484728712,1,0.02128997484728712,32,-0.03117139777218836,True
PhysioNetMI,NEURAL,A4-C3-MULTI-PROB-AVG,C3,6,1|4|8|16|32|FULL,0.015002|0.008354|0.003414|0.004941|-0.006019|0.027758,2,0.00890825248532758,0.006647502694933555,-0.006018684872439839,0.027757815307222433,FULL,0.027757815307222433,32,-0.006018684872439839,True
PhysioNetMI,SSL,A4-C2-MULTI-HARD-VOTE,C2,6,1|4|8|16|32|FULL,-0.013654|0.000180|-0.028387|-0.003503|0.025871|0.023356,3,0.0006437896754102427,-0.0016618756737333817,-0.02838663312971612,0.025871361839741314,32,0.025871361839741314,8,-0.02838663312971612,True
PhysioNetMI,SSL,A4-C3-MULTI-PROB-AVG,C3,6,1|4|8|16|32|FULL,-0.003683|0.015271|-0.001437|-0.022548|0.011588|0.006378,3,0.0009282548808240513,0.002470355731225282,-0.022547610492274495,0.01527128997484728,4,0.01527128997484728,16,-0.022547610492274495,True
