dataset_id,role_id,condition_id,condition_short,n_budgets,budget_sequence,delta_sequence,sign_flip_count,delta_BACC_mean,delta_BACC_median,delta_BACC_min,delta_BACC_max,peak_budget,peak_delta_BACC,trough_budget,trough_delta_BACC,non_monotonic_direction
BNCI2014_001,NEURAL,A4-C1-LONG-3P5S,C1,6,1|4|8|16|32|FULL,0.006944|-0.072917|-0.003472|-0.041667|0.027778|-0.045139,3,-0.021412037037037,-0.0225694444444444,-0.0729166666666666,0.0277777777777777,32,0.0277777777777777,4,-0.0729166666666666,True
BNCI2014_001,NEURAL,A4-C2-MULTI-HARD-VOTE,C2,6,1|4|8|16|32|FULL,-0.003472|-0.086806|0.010417|-0.027778|0.052083|-0.031250,4,-0.0144675925925926,-0.015625,-0.0868055555555554,0.0520833333333333,32,0.0520833333333333,4,-0.0868055555555554,True
BNCI2014_001,NEURAL,A4-C3-MULTI-PROB-AVG,C3,6,1|4|8|16|32|FULL,-0.020833|-0.059028|0.020833|-0.034722|0.052083|-0.045139,4,-0.0144675925925925,-0.0277777777777778,-0.0590277777777776,0.0520833333333333,32,0.0520833333333333,4,-0.0590277777777776,True
BNCI2014_001,SSL,A4-C2-MULTI-HARD-VOTE,C2,6,1|4|8|16|32|FULL,0.062500|0.038194|0.017361|-0.010417|-0.006944|0.052083,2,0.0254629629629629,0.0277777777777777,-0.0104166666666666,0.0625,1,0.0625,16,-0.0104166666666666,True
BNCI2014_001,SSL,A4-C3-MULTI-PROB-AVG,C3,6,1|4|8|16|32|FULL,0.024306|0.003472|-0.017361|0.003472|0.003472|0.090278,2,0.0179398148148148,0.0034722222222222,-0.017361111111111,0.0902777777777777,FULL,0.0902777777777777,8,-0.017361111111111,True
Lee2019_MI,NEURAL,A4-C1-LONG-3P5S,C1,6,1|4|8|16|32|FULL,-0.011667|0.010000|-0.031667|0.026667|-0.028333|0.030000,5,-0.0008333333333333,-0.0008333333333334,-0.0316666666666667,0.03,FULL,0.03,8,-0.0316666666666667,True
Lee2019_MI,NEURAL,A4-C2-MULTI-HARD-VOTE,C2,6,1|4|8|16|32|FULL,-0.003333|0.003333|-0.006667|0.011667|-0.048333|0.028333,5,-0.0025,-5.551115123125783e-17,-0.0483333333333333,0.0283333333333333,FULL,0.0283333333333333,32,-0.0483333333333333,True
Lee2019_MI,NEURAL,A4-C3-MULTI-PROB-AVG,C3,6,1|4|8|16|32|FULL,0.008333|0.018333|-0.010000|0.013333|-0.048333|0.026667,4,0.0013888888888888,0.0108333333333333,-0.0483333333333333,0.0266666666666667,FULL,0.0266666666666667,32,-0.0483333333333333,True
Lee2019_MI,SSL,A4-C2-MULTI-HARD-VOTE,C2,6,1|4|8|16|32|FULL,0.006667|0.025000|0.018333|0.026667|-0.026667|-0.010000,1,0.0066666666666666,0.0125,-0.0266666666666666,0.0266666666666666,16,0.0266666666666666,32,-0.0266666666666666,True
Lee2019_MI,SSL,A4-C3-MULTI-PROB-AVG,C3,6,1|4|8|16|32|FULL,0.033333|0.015000|0.031667|0.043333|0.011667|-0.008333,1,0.0211111111111111,0.0233333333333333,-0.0083333333333333,0.0433333333333332,16,0.0433333333333332,FULL,-0.0083333333333333,True
PhysioNetMI,NEURAL,A4-C1-LONG-3P5S,C1,6,1|4|8|16|32|FULL,0.015361|0.032609|-0.003953|-0.037999|-0.018685|0.035393,2,0.0037878787878787,0.0057042759611929,-0.03799856270212,0.0353934602946459,FULL,0.0353934602946459,16,-0.03799856270212,True
PhysioNetMI,NEURAL,A4-C2-MULTI-HARD-VOTE,C2,6,1|4|8|16|32|FULL,0.021290|-0.002066|0.000449|-0.005300|-0.031171|0.018954,4,0.0003593244699963,-0.0008084800574919,-0.0311713977721883,0.0212899748472871,1,0.0212899748472871,32,-0.0311713977721883,True
PhysioNetMI,NEURAL,A4-C3-MULTI-PROB-AVG,C3,6,1|4|8|16|32|FULL,0.015002|0.008354|0.003414|0.004941|-0.006019|0.027758,2,0.0089082524853275,0.0066475026949335,-0.0060186848724398,0.0277578153072224,FULL,0.0277578153072224,32,-0.0060186848724398,True
PhysioNetMI,SSL,A4-C2-MULTI-HARD-VOTE,C2,6,1|4|8|16|32|FULL,-0.013654|0.000180|-0.028387|-0.003503|0.025871|0.023356,3,0.0006437896754102,-0.0016618756737333,-0.0283866331297161,0.0258713618397413,32,0.0258713618397413,8,-0.0283866331297161,True
PhysioNetMI,SSL,A4-C3-MULTI-PROB-AVG,C3,6,1|4|8|16|32|FULL,-0.003683|0.015271|-0.001437|-0.022548|0.011588|0.006378,3,0.000928254880824,0.0024703557312252,-0.0225476104922744,0.0152712899748472,4,0.0152712899748472,16,-0.0225476104922744,True
