dataset_id,budget_per_class,leader_model_id,leader_BACC,leader_delta_vs_full_BACC,leader_changed_from_previous_budget
BNCI2014_001,1,RIE-TS-LR,0.5416666666666667,-0.07291666666666663,True
BNCI2014_001,2,RIE-TS-LR,0.5625,-0.05208333333333337,False
BNCI2014_001,4,CLS-CSP-LDA,0.6041666666666667,-0.0347222222222221,True
BNCI2014_001,8,DNN-EEGNET,0.5416666666666667,-0.06736111111111098,True
BNCI2014_001,16,DNN-EEGNET,0.56875,-0.040277777777777746,False
BNCI2014_001,32,RIE-TS-LR,0.5208333333333334,-0.09375,True
Lee2019_MI,1,DNN-EEGNET,0.5273333333333333,-0.21433333333333338,True
Lee2019_MI,2,CLS-CSP-LDA,0.5,-0.21499999999999997,True
Lee2019_MI,4,DNN-EEGNET,0.5243333333333333,-0.21733333333333338,True
Lee2019_MI,8,RIE-TS-LR,0.5349999999999999,-0.21166666666666667,True
Lee2019_MI,16,RIE-TS-LR,0.5700000000000001,-0.17666666666666653,False
Lee2019_MI,32,RIE-TS-LR,0.5283333333333333,-0.21833333333333327,False
PhysioNetMI,1,RIE-TS-LR,0.5130255120373697,-0.10020233389798616,True
PhysioNetMI,2,CLS-CSP-LDA,0.5458138699245418,-0.050204900501343186,True
PhysioNetMI,4,RIE-TS-LR,0.511498383039885,-0.1017294628954708,True
PhysioNetMI,8,CLS-CSP-LDA,0.5159899389148401,-0.0800288315110449,True
PhysioNetMI,16,RIE-TS-LR,0.5482393100970175,-0.0649885358383383,True
PhysioNetMI,32,DNN-EEGNET,0.5262486525332375,-0.10126234108447552,True
