dataset_id,model_id,budget_per_class,BACC,status,delta_from_previous_budget_BACC,delta_vs_full_BACC,full_train_BACC
BNCI2014_001,CLS-CSP-LDA,1,,EXPLICIT_NON_SUCCESS,,,0.6388888888888888
BNCI2014_001,CLS-CSP-LDA,2,0.5277777777777778,VALID,,-0.11111111111111105,0.6388888888888888
BNCI2014_001,CLS-CSP-LDA,4,0.6041666666666667,VALID,0.07638888888888895,-0.0347222222222221,0.6388888888888888
BNCI2014_001,CLS-CSP-LDA,8,0.4861111111111111,VALID,-0.11805555555555564,-0.15277777777777773,0.6388888888888888
BNCI2014_001,CLS-CSP-LDA,16,0.5277777777777778,VALID,0.041666666666666685,-0.11111111111111105,0.6388888888888888
BNCI2014_001,CLS-CSP-LDA,32,0.4965277777777778,VALID,-0.03125,-0.14236111111111105,0.6388888888888888
BNCI2014_001,DNN-EEGNET,1,0.5243055555555556,VALID,,-0.08472222222222214,0.6090277777777777
BNCI2014_001,DNN-EEGNET,2,0.525,VALID,0.000694444444444442,-0.0840277777777777,0.6090277777777777
BNCI2014_001,DNN-EEGNET,4,0.5354166666666667,VALID,0.01041666666666663,-0.07361111111111107,0.6090277777777777
BNCI2014_001,DNN-EEGNET,8,0.5416666666666667,VALID,0.006250000000000089,-0.06736111111111098,0.6090277777777777
BNCI2014_001,DNN-EEGNET,16,0.56875,VALID,0.027083333333333237,-0.040277777777777746,0.6090277777777777
BNCI2014_001,DNN-EEGNET,32,0.5076388888888889,VALID,-0.061111111111111116,-0.10138888888888886,0.6090277777777777
BNCI2014_001,RIE-TS-LR,1,0.5416666666666667,VALID,,-0.07291666666666663,0.6145833333333334
BNCI2014_001,RIE-TS-LR,2,0.5625,VALID,0.02083333333333326,-0.05208333333333337,0.6145833333333334
BNCI2014_001,RIE-TS-LR,4,0.5902777777777778,VALID,0.02777777777777779,-0.02430555555555558,0.6145833333333334
BNCI2014_001,RIE-TS-LR,8,0.4861111111111111,VALID,-0.10416666666666669,-0.12847222222222227,0.6145833333333334
BNCI2014_001,RIE-TS-LR,16,0.5208333333333333,VALID,0.034722222222222154,-0.09375000000000011,0.6145833333333334
BNCI2014_001,RIE-TS-LR,32,0.5208333333333334,VALID,1.1102230246251565e-16,-0.09375,0.6145833333333334
BNCI2014_001,SSL-CBRAMOD,1,0.4979166666666667,VALID,,-0.05277777777777781,0.5506944444444445
BNCI2014_001,SSL-CBRAMOD,2,0.5069444444444444,VALID,0.009027777777777746,-0.04375000000000007,0.5506944444444445
BNCI2014_001,SSL-CBRAMOD,4,0.5083333333333334,VALID,0.001388888888888995,-0.04236111111111107,0.5506944444444445
BNCI2014_001,SSL-CBRAMOD,8,0.5208333333333333,VALID,0.012499999999999845,-0.029861111111111227,0.5506944444444445
BNCI2014_001,SSL-CBRAMOD,16,0.5277777777777778,VALID,0.006944444444444531,-0.022916666666666696,0.5506944444444445
BNCI2014_001,SSL-CBRAMOD,32,0.5166666666666667,VALID,-0.011111111111111072,-0.03402777777777777,0.5506944444444445
Lee2019_MI,CLS-CSP-LDA,1,,EXPLICIT_NON_SUCCESS,,,0.715
Lee2019_MI,CLS-CSP-LDA,2,0.5,VALID,,-0.21499999999999997,0.715
Lee2019_MI,CLS-CSP-LDA,4,0.4966666666666667,VALID,-0.0033333333333332993,-0.21833333333333327,0.715
Lee2019_MI,CLS-CSP-LDA,8,0.4616666666666666,VALID,-0.03500000000000009,-0.25333333333333335,0.715
Lee2019_MI,CLS-CSP-LDA,16,0.5666666666666667,VALID,0.10500000000000004,-0.14833333333333332,0.715
Lee2019_MI,CLS-CSP-LDA,32,0.5183333333333333,VALID,-0.04833333333333334,-0.19666666666666666,0.715
Lee2019_MI,DNN-EEGNET,1,0.5273333333333333,VALID,,-0.21433333333333338,0.7416666666666667
Lee2019_MI,DNN-EEGNET,2,0.4983333333333333,VALID,-0.029000000000000026,-0.2433333333333334,0.7416666666666667
Lee2019_MI,DNN-EEGNET,4,0.5243333333333333,VALID,0.026000000000000023,-0.21733333333333338,0.7416666666666667
Lee2019_MI,DNN-EEGNET,8,0.5226666666666666,VALID,-0.0016666666666667052,-0.21900000000000008,0.7416666666666667
Lee2019_MI,DNN-EEGNET,16,0.498,VALID,-0.024666666666666615,-0.2436666666666667,0.7416666666666667
Lee2019_MI,DNN-EEGNET,32,0.5226666666666666,VALID,0.024666666666666615,-0.21900000000000008,0.7416666666666667
Lee2019_MI,RIE-TS-LR,1,0.5016666666666667,VALID,,-0.24499999999999988,0.7466666666666666
Lee2019_MI,RIE-TS-LR,2,0.4933333333333333,VALID,-0.008333333333333415,-0.2533333333333333,0.7466666666666666
Lee2019_MI,RIE-TS-LR,4,0.4983333333333333,VALID,0.0050000000000000044,-0.2483333333333333,0.7466666666666666
Lee2019_MI,RIE-TS-LR,8,0.5349999999999999,VALID,0.036666666666666625,-0.21166666666666667,0.7466666666666666
Lee2019_MI,RIE-TS-LR,16,0.5700000000000001,VALID,0.03500000000000014,-0.17666666666666653,0.7466666666666666
Lee2019_MI,RIE-TS-LR,32,0.5283333333333333,VALID,-0.04166666666666674,-0.21833333333333327,0.7466666666666666
Lee2019_MI,SSL-CBRAMOD,1,0.5026666666666666,VALID,,-0.16533333333333344,0.668
Lee2019_MI,SSL-CBRAMOD,2,0.484,VALID,-0.01866666666666661,-0.18400000000000005,0.668
Lee2019_MI,SSL-CBRAMOD,4,0.4956666666666667,VALID,0.011666666666666714,-0.17233333333333334,0.668
Lee2019_MI,SSL-CBRAMOD,8,0.5106666666666666,VALID,0.014999999999999902,-0.15733333333333344,0.668
Lee2019_MI,SSL-CBRAMOD,16,0.488,VALID,-0.022666666666666613,-0.18000000000000005,0.668
Lee2019_MI,SSL-CBRAMOD,32,0.4926666666666667,VALID,0.004666666666666708,-0.17533333333333334,0.668
PhysioNetMI,CLS-CSP-LDA,1,,EXPLICIT_NON_SUCCESS,,,0.596018770425885
PhysioNetMI,CLS-CSP-LDA,2,0.5458138699245418,VALID,,-0.050204900501343186,0.596018770425885
PhysioNetMI,CLS-CSP-LDA,4,0.5018864534674811,VALID,-0.043927416457060775,-0.09413231695840396,0.596018770425885
PhysioNetMI,CLS-CSP-LDA,8,0.5159899389148401,VALID,0.014103485447359065,-0.0800288315110449,0.596018770425885
