source_path,source_sha256,source_bytes,source_role,classification,destination_path,transformation,reason,consumers,validation
.github/PULL_REQUEST_TEMPLATE.md,87d8d296f48b0805f63ade9b27e4021a2937eb3af74eb60e19bbe9e869036f03,337,PROJECT_METADATA_OR_OTHER,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
.github/workflows/phase0-ci.yml,ff53573a00489404011d6e840ed0aa7042a7f53f421428a6aef8d78527c4b1b0,441,PROJECT_METADATA_OR_OTHER,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
.gitignore,9abb23423b9833d1e816244a017af8d89070a320a0c2d66ef668b2baa0221f27,242,PROJECT_METADATA_OR_OTHER,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
CITATION.cff,fe9ca50e7e56ab760d14c09d249d8779d0eb876d20e8dd420501d0f444b67fbc,271,PROJECT_METADATA_OR_OTHER,MAIN_TREE_DIRECT,CITATION.cff,REGENERATED_PRESENTATION_SURFACE,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
CODEOWNERS,e906dd334d82f1572cc9ecec4579b82fd34c249364e99712c6288b6d4249e7c4,79,PROJECT_METADATA_OR_OTHER,MAIN_TREE_DIRECT,CODEOWNERS,REGENERATED_PRESENTATION_SURFACE,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
CONTRIBUTING.md,d94ebe756fdfcbab0f2efc07a17a3c234904805e5fb711b345923fee870dc733,257,PROJECT_METADATA_OR_OTHER,MAIN_TREE_DIRECT,CONTRIBUTING.md,REGENERATED_PRESENTATION_SURFACE,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
LICENSE_PENDING.md,98f7fee09f7ee7e1c339f692afd7ece9434e6b47a267da0d2e1eaa50085e6e83,264,PROJECT_METADATA_OR_OTHER,MAIN_TREE_DIRECT,LICENSE_PENDING.md,REGENERATED_PRESENTATION_SURFACE,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
README.md,713c5a8cbd1195b17413127bb571830ef10074c87e9d0a3b124eece2f53d4c4c,4680,PROJECT_METADATA_OR_OTHER,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
SECURITY.md,367eff37e3028fad950c8fbb6fde5df7a32b2e935429711fc957fd994519fc67,247,PROJECT_METADATA_OR_OTHER,MAIN_TREE_DIRECT,SECURITY.md,REGENERATED_PRESENTATION_SURFACE,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
artifacts/.gitkeep,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,PROJECT_METADATA_OR_OTHER,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
