item_id,item_type,claim_id,layer0,evidence_map,layer10_warning_view,exports,reproduction_package,final_handoff,status
P00-LIM-002,LIMITATION,P00-CLM-001,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PASS
P00-LIM-003,LIMITATION,P00-CLM-001,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PASS
P00-LIM-004,LIMITATION,P00-CLM-001,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PASS
P00-LIM-L0-001,LIMITATION,P00-CLM-001,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PASS_CURRENT_SUCCESSOR
P00-N-003,NEGATIVE_OR_ADVERSE,P00-CLM-001,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PASS
P00-N-004,NEGATIVE_OR_ADVERSE,P00-CLM-001,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PASS
P00-N-009,NEGATIVE_OR_ADVERSE,P00-CLM-001,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PASS
P00-LIM-001,LIMITATION,P00-CLM-002,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PASS
P00-LIM-002,LIMITATION,P00-CLM-002,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PASS
P00-LIM-003,LIMITATION,P00-CLM-002,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PASS
P00-LIM-004,LIMITATION,P00-CLM-002,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PASS
P00-N-002,NEGATIVE_OR_ADVERSE,P00-CLM-002,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PASS
P00-N-003,NEGATIVE_OR_ADVERSE,P00-CLM-002,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PASS
P00-N-004,NEGATIVE_OR_ADVERSE,P00-CLM-002,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PASS
P00-LIM-004,LIMITATION,P00-CLM-003,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PASS
P00-LIM-L0-001,LIMITATION,P00-CLM-003,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PASS_CURRENT_SUCCESSOR
P00-N-001,NEGATIVE_OR_ADVERSE,P00-CLM-003,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PASS
P00-LIM-004,LIMITATION,P00-CLM-004,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PASS
P00-LIM-L0-001,LIMITATION,P00-CLM-004,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PASS_CURRENT_SUCCESSOR
P00-LIM-003,LIMITATION,P00-CLM-005,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PASS
P00-LIM-004,LIMITATION,P00-CLM-005,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PASS
P00-LIM-L0-001,LIMITATION,P00-CLM-005,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PASS_CURRENT_SUCCESSOR
P00-N-004,NEGATIVE_OR_ADVERSE,P00-CLM-005,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PASS
P00-N-009,NEGATIVE_OR_ADVERSE,P00-CLM-005,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PASS
P00-LIM-003,LIMITATION,P00-CLM-006,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PASS
P00-LIM-004,LIMITATION,P00-CLM-006,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PASS
P00-LIM-L0-001,LIMITATION,P00-CLM-006,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PASS_CURRENT_SUCCESSOR
P00-N-004,NEGATIVE_OR_ADVERSE,P00-CLM-006,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PASS
P00-N-009,NEGATIVE_OR_ADVERSE,P00-CLM-006,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PASS
P00-LIM-001,LIMITATION,P00-CLM-007,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PASS
P00-LIM-002,LIMITATION,P00-CLM-007,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PASS
P00-LIM-003,LIMITATION,P00-CLM-007,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PASS
P00-N-002,NEGATIVE_OR_ADVERSE,P00-CLM-007,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PASS
P00-N-003,NEGATIVE_OR_ADVERSE,P00-CLM-007,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PASS
P00-N-006,NEGATIVE_OR_ADVERSE,P00-CLM-007,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PASS
